aligned_date,headline,text,section,url
2011-05-02,Suicide Bomber Kills 8 at Iraqi Market,"BAGHDAD — A suicide bomber on Saturday attacked a group of Iraqi soldiers at an entrance of a large market in the northern city of Mosul, killing 5 soldiers and 3 other people and wounding 19, according to an Iraqi security official. ",World,https://www.nytimes.com/2011/05/01/world/middleeast/01iraq.html
2011-05-02,"Sushi and Asian Fusion, Infinitely Varied","XAGA combines two restaurant trends that show no signs of slowing: sushi and Asian fusion. The full name of this six-month-old restaurant in Merrick is, in fact, Xaga Sushi Asian Fusion. It has an older sibling with the same name in Hewlett.",New York,https://www.nytimes.com/2011/05/01/nyregion/xaga-sushi-asian-fusion-review.html
2011-05-02,"A Cheerful Brasserie, With Sweet Accents","THE BRASSERIE is a cheerful, attractive French restaurant within walking distance of the Fairfield train station. It has loads of character: exposed brick walls and a large blackboard listing handwritten specials. Tables are comfortably spaced, and the single-page menu offers a variety of appealing choices — French and not-so-French — like tapas, burgers, frog’s legs, bouillabaisse and short ribs. But as I watched the restaurant fill almost to capacity on a recent Saturday evening, I wondered if the rest of the room knew something I didn’t.",New York,https://www.nytimes.com/2011/05/01/nyregion/the-brasserie-in-fairfield-cheerful-and-french.html
2011-05-02,Levee Breach Moves One Step Closer,"CAIRO, Ill. — Chugging north along the Mississippi River, twin barges laden with more than 250 tons of explosive material were ordered to dock at a final staging area on Saturday in an apparent sign that the Army Corps of Engineers was making further preparations to breach a nearby levee, inundating roughly 130,000 acres of Missouri farmland to relieve pressure on the groaning levee system upstream. ",U.S.,https://www.nytimes.com/2011/05/01/us/01flood.html
2011-05-02,Corrections,FRONT PAGE,Corrections,https://www.nytimes.com/2011/05/01/pageoneplus/corrections.html
2011-05-02,Only Missing Ingredient Is a Bit of Quiet,"I HAVE one word of advice for Larry Fishman, owner of the Rail House 1449: textiles.",New York,https://www.nytimes.com/2011/05/01/nyregion/at-rail-house-1449-try-scallops-or-apple-tart-review.html
2011-05-02,"Baked Goods, Nothing Added","Susan O’Keefe was looking for a commercial kitchen to expand her wholesale baking business when she came across a sunny retail space in Croton-on-Hudson that changed her perspective. Home to a series of pizza parlors, the storefront is now redolent with the smell of baking cookies, cakes and muffins.",New York,https://www.nytimes.com/2011/05/01/nyregion/baked-by-susan-westchester-quick-bite.html
2011-05-02,Where the Diners Linger,"Kathy West, co-owner of the Mockingbird Cafe, calls herself “my own worst promoter.” But the charming 40-seat cafe she and her husband, Tom, opened in August does a pretty good job of promoting itself.",New York,https://www.nytimes.com/2011/05/01/nyregion/at-the-mockingbird-cafe-diners-linger-review.html
2011-05-02,Coming Together Amid the Wreckage,The tornadoes that ripped through the South last week have been the deadliest natural disaster on American soil since Hurricane Katrina.,U.S.,https://www.nytimes.com/slideshow/2011/05/01/us/20110501_STORM.html
2011-05-02,A Bakery That Loves Butter,"Don’t judge La Brioche French Bakery by its décor. The pine wainscoting, orange and red walls and linoleum floor all date to a previous era, when the building was occupied by the Boston Bakery. It is the delectable spread of breads and pastries that most clearly reflects the abilities of the current tenant, Colette Berube.",New York,https://www.nytimes.com/2011/05/01/nyregion/la-brioche-french-bakery-connecticut-quick-bite.html
2011-05-02,Thank You for Taking Our Team’s Call. Now Please Hold.,They pipe music through Radio City Music Hall between picks at the N.F.L. draft. But the real background noise accompanying the three-day restocking for future seasons was provided by the legal maneuvering surrounding the lockout that threatens the start of the next one. ,Sports,https://www.nytimes.com/2011/05/01/sports/football/01draft.html
2011-05-02,Police Look Into Complaint by Walcott After Traffic Stop,"A New York police official said on Saturday that an internal departmental investigation had been initiated into the treatment of the city’s schools chancellor, Dennis M. Walcott, by two plainclothes police officers during a traffic stop in Queens on Thursday night.",New York,https://www.nytimes.com/2011/05/01/nyregion/police-look-into-complaint-by-new-york-chancellor-after-traffic-stop.html
