aligned_date,headline,text,section,url
2013-12-02,"After Hurricane Sandy Wreaked Havoc, A Changed Perspective ","It is fair to say Takashi Fujimoto has an independent streak. As an artistic young man growing up in postwar Hiroshima, Japan, during the grim years after the 1945 nuclear blast, he dreamed of leaving home to pursue his love of photography and escape the rigid expectations of what he termed a very conservative society.",New York,https://www.nytimes.com/2013/12/01/nyregion/a-changed-perspective-after-hurricane-sandy-wreaked-havoc.html
2013-12-02,Politics and a Ruptured Tendon Don’t Faze Lead Iran Negotiator,"WASHINGTON — On her way to brief highly skeptical members of Congress about the deal she was still negotiating in secretive talks with the Iranians, Wendy Sherman, the State Department’s No. 3 official and its lead negotiator with Tehran, fell and ruptured a tendon in her finger. She packed it in ice, went to a secure room, and continued her briefing on uranium enrichment levels and current intelligence about the intentions of America’s longtime adversary. Only then did she head to the emergency room. ",World,https://www.nytimes.com/2013/12/01/world/middleeast/politics-and-a-ruptured-tendon-dont-faze-lead-iran-negotiator.html
2013-12-02,"For Fordham, a Special Season Lives On ","Reminders of the glory days of Fordham football are everywhere. The famed Seven Blocks of Granite are honored with a monument erected in 2008. Vince Lombardi, a guard on that unit and later a renowned coach, will forever be celebrated as a towering figure in the university’s history.",Sports,https://www.nytimes.com/2013/12/01/sports/ncaafootball/another-building-block-for-fordham-a-playoff-victory.html
2013-12-02,"A Rustic Paradise, Open for Development","GUADALUPE VALLEY, Mexico — The doors were locked. The lights were out. When Hugo D’Acosta and 60 of his neighbors reached Ensenada City Hall after being tipped off to a nighttime vote that would open their beloved wine region to Florida-style housing and golf courses, they had to shout just to get in.",World,https://www.nytimes.com/2013/12/01/world/americas/a-rustic-paradise-open-for-development.html
2013-12-02,Traffic Agent Is Fatally Struck in Manhattan,A traffic enforcement agent was struck and killed by an industrial street-cleaning truck amid throngs of holiday shoppers in Midtown Manhattan on Saturday in what officials said was most likely an accident.,New York,https://www.nytimes.com/2013/12/01/nyregion/traffic-agent-fatally-struck-in-manhattan.html
2013-12-02,Thanksgiving Openings Take Sales From Black Friday,Shoppers who braved the sales on Black Friday may have wondered at the size of the crowds. Did they seem a bit smaller than in years past?,Business Day,https://www.nytimes.com/2013/12/01/business/thanksgiving-openings-take-sales-from-black-friday.html
2013-12-02,Knicks Find Solace in Quality of Losses,DENVER — The mood lifted in the Knicks’ locker room after Friday night’s game here. Raymond Felton said that they had “turned this thing around.” Carmelo Anthony said he could sense “the trust in one another out there.” J. R. Smith seemed relieved that the Knicks were “getting over the hump.”,Sports,https://www.nytimes.com/2013/12/01/sports/basketball/knicks-find-solace-in-quality-of-losses.html
2013-12-02,"Joe on WNYC’s “Money Talking”: Nov. 29, 2013","A lot of iconic companies in the tech sector like H.P., Cisco and Blackberry have been struggling recently. This week on Money Talking, regular contributors Joe Nocera and Rana Foroohar of Time magazine consider if the challenges are the result of problems at the company or external forces. Are these tech companies canaries in the coal mine for an impending stock market correction? Also, a look ahead to a Supreme Court case involving Halliburton, and how sanctions being lifted in Iran could affect that country’s economy.",Opinion,https://nocera.blogs.nytimes.com/2013/11/30/joe-on-wnycs-money-talking-nov-29-2013/
2013-12-02,One Second Dooms No. 1 Alabama,"AUBURN, Ala. — A football dynasty died Saturday, or at least went comatose.",Sports,https://www.nytimes.com/2013/12/01/sports/ncaafootball/one-second-dooms-no-1-alabama.html
2013-12-02,"Winning Lottery Numbers for Nov. 30, 2013","Nov. 30, 2013",New York,https://www.nytimes.com/2013/12/01/nyregion/winning-lottery-numbers-for-nov-30-2013.html
