aligned_date,headline,text,section,url
2023-07-03,Sheriff Recorded Making Inflammatory Comments Won’t Face Charges,Oklahoma’s attorney general said on Friday that a sheriff who was caught on a recording as other county officials discussed killing journalists and Black people would not face criminal charges but suggested that the governor endorse another candidate in the next election.,U.S.,https://www.nytimes.com/2023/06/30/us/oklahoma-sheriff-killing-journalists-lynching.html
2023-07-03,Governor Vetoes Louisiana’s Ban on Transition Care for Transgender Minors,"Gov. John Bel Edwards of Louisiana vetoed a ban on gender-transition care for transgender minors on Friday, standing in the way of his state becoming the latest to prohibit that kind of care.",U.S.,https://www.nytimes.com/2023/06/30/us/louisiana-transgender-care-ban-minors.html
2023-07-03,Robert Kennedy Jr. Reports Income of $7.8 Million,"Robert F. Kennedy Jr., the political scion and prominent vaccine skeptic who is challenging President Biden for the Democratic presidential nomination, reported an income of $7.8 million in the year leading up to his entry into the race, including nearly $1.6 million from his consulting work for a personal injury law firm known for litigation against pharmaceutical companies.",U.S.,https://www.nytimes.com/2023/06/30/us/politics/robert-f-kennedy-jr-money.html
2023-07-03,Coast Guard Apologizes for Covering Up Long History of Sexual Assault,"The U.S. Coast Guard apologized on Friday for covering up scores of documented sexual assault and harassment cases that took place at the service’s academy, and failing to properly investigate or discipline those accused in dozens more cases over a span of nearly two decades.",U.S.,https://www.nytimes.com/2023/06/30/us/politics/coast-guard-sexual-assault.html
2023-07-03,Certain Surprise Party?,"SATURDAY PUZZLE — I have a soft spot for constructors who debut with themeless puzzles, and there is a lot to love about this grid by Ben Tolkin. The stair-stepped entries at its top and bottom all crackle, and most of them are debuts, as well; there’s excellent wordplay throughout, and a lot of trivia for lovers of language and literature.",Crosswords & Games,https://www.nytimes.com/2023/06/30/crosswords/daily-puzzle-2023-07-01.html
2023-07-03,"On ‘The Bear,’ Interning at a Fine-Dining Restaurant Is Rosier Than Reality","In its second season, the hit FX show “The Bear” ventures into the world of fine dining. As the scrappy Chicago restaurant crashes toward a reopening, two of the employees leave to apprentice at top restaurants in Chicago and Copenhagen.",Food,https://www.nytimes.com/2023/06/30/dining/the-bear-stage-restaurant.html
2023-07-03,Hollywood Actors Extend Contract Talks at Deadline,"The union representing some 160,000 television and movie actors said on Friday night that it would continue contract negotiations with the major Hollywood studios and streaming services, extending the current deal — which had been set to expire at midnight — through July 12.",Business Day,https://www.nytimes.com/2023/06/30/business/media/hollywood-actors-extend-talks.html
2023-07-03,"Before Wimbledon, There’s Practice on Grass at an English Garden Party","Even for the best tennis players in the world, the days before a Grand Slam can be filled with nerves and stress, especially the time leading up to Wimbledon, the grandest Grand Slam of them all.",Sports,https://www.nytimes.com/2023/07/01/sports/tennis/wimbledon-boodles.html
2023-07-03,France Is on Fire,"PARIS — “I’m a fully grown adult, but my mother still seems nervous whenever I leave the house,” Djigui, one of the thousands of protesters who took to the streets on Thursday afternoon in Nanterre, a working-class suburb of Paris, told me. “I can hear the crack in her voice when she checks to make sure I have my ID card or just says, ‘Watch out.’”",Opinion,https://www.nytimes.com/2023/07/01/opinion/france-protests-nahel-m.html
2023-07-03,"Quotation of the Day: In Ruined Town, Resolved to Stay ’Until the End’","“People used to live here, but they left. Today, I’m the only inhabitant of the street.”",Corrections,https://www.nytimes.com/2023/07/01/pageoneplus/quotation-of-the-day-in-ruined-town-resolved-to-stay-until-the-end.html
2023-07-03,"Corrections: July 1, 2023","An article on June 23 about a hearing regarding the derailment of a freight train in Ohio incorrectly rendered some information as a direct quotation. Robert Wood, Norfolk Southern’s director of hazardous materials, did not say at a hearing, “Eventually, if we did nothing, the cars were going to go through a violent explosion.” That was an element of a question he was asked regarding what he had told the fire chief in East Palestine, Ohio. The article also misquoted Mr. Wood. He said, “We believed that our only alternative left was probably going to be a vent and burn,” not “We believed our only alternative left was a vent and burn.”",Corrections,https://www.nytimes.com/2023/07/01/pageoneplus/corrections-july-1-2023.html
2023-07-03,Today’s Wordle Review,"Welcome to The Wordle Review. Be warned: This article contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",Crosswords & Games,https://www.nytimes.com/2023/07/01/crosswords/wordle-review-answer-742.html
2023-07-03,Gov. Murphy Looks to Burnish Legacy With a $54.3 Billion Budget,"Philip D. Murphy, a wealthy former Goldman Sachs executive who had never held elected office, took over as governor of New Jersey in 2018 as an unabashed liberal Democrat and in his first term enacted a millionaires tax, a $15 minimum wage and mandatory paid time off.",New York,https://www.nytimes.com/2023/07/01/nyregion/phil-murphy-new-jersey-budget.html
2023-07-03,Where to Watch July 4 Fireworks in the New York City Area,"Numerous firework displays are scheduled to light up the skies in and around New York City this Independence Day, including the 47th annual Macy’s Fourth of July celebration, which will send 60,000 shells into the night sky from five barges in the East River.",New York,https://www.nytimes.com/2023/07/01/nyregion/watch-fireworks-nyc-july-4.html
2023-07-03,Spelling Bee Forum,"SATURDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",Crosswords & Games,https://www.nytimes.com/2023/07/01/crosswords/spelling-bee-forum.html
2023-07-03,9 Ways to Stay Shaded on a Sweltering Day in New York City,"With above-average temperatures predicted for this summer, New Yorkers are bracing for a scorcher.",New York,https://www.nytimes.com/2023/07/01/nyregion/nyc-summer-shade.html
2023-07-03,A Fractured Family Heads North,"Wherever you go, there you are. The adage rings true in Caitlin Shetterly’s tender debut, “Pete and Alice in Maine.” During the first weeks of the pandemic, Pete and Alice flee New York City for Maine with their young daughters, Sophie and Iris. Life in the city seems impossible during lockdown, but Pete and Alice are also dealing with a crisis of their own. Driving up to Maine, they carry with them confusion, grief, anger, guilt, longing — all the emotions of their troubled marriage.",Books,https://www.nytimes.com/2023/07/01/books/review/pete-and-alice-in-maine-caitlin-shetterly.html
2023-07-03,My Building Manager Wants to Get on My Renter’s Insurance. Is That Legal?,"Q: I have lived in my New York rental apartment for over six years, having signed three previous two-year leases. Each lease has requested proof of renter’s insurance. With the current lease, the building management is requesting that I name them as an additional insured party. It seems as though they’re trying to pass on their insurance costs to me. Is that legal?",Real Estate,https://www.nytimes.com/2023/07/01/realestate/renters-insurance-building-management.html
2023-07-03,How Amazon Taught Alexa to Speak in an Irish Brogue,"Like Henry Higgins, the phonetician from George Bernard Shaw’s play “Pygmalion,” Marius Cotescu and Georgi Tinchev recently demonstrated how their student was trying to overcome pronunciation difficulties.",Technology,https://www.nytimes.com/2023/07/01/technology/amazon-alexa-irish.html
2023-07-03,2 Leading Theories of Consciousness Square Off,"On a muggy June night in Greenwich Village, more than 800 neuroscientists, philosophers and curious members of the public packed into an auditorium. They came for the first results of an ambitious investigation into a profound question: What is consciousness?",Science,https://www.nytimes.com/2023/07/01/science/consciousness-theories.html
2023-07-03,The N.F.L.’s Betting Penalties Put Ideal of ‘Integrity’ to the Test,"When the N.F.L. on Thursday announced that three players had been found to have bet on football, the penalties came down with characteristic harshness: indefinite suspensions that can only be appealed after a full season.",Sports,https://www.nytimes.com/2023/07/01/sports/football/nfl-gambling-suspensions-integrity.html
2023-07-03,"TikTok Sells a Lot of Books. Now, Its Owner Wants to Publish Them, Too.","A new publishing company began courting self-published romance writers earlier this year. The pitch, delivered in a generic email, was impersonal and formulaic. The terms weren’t generous, sometimes amounting to just a few thousand dollars for the rights to a book.",Books,https://www.nytimes.com/2023/07/01/books/tiktok-book-publishing-bytedance.html
2023-07-03,The ‘Unseen’ Students in the Affirmative Action Debate,"For as long as she remembers, Dolly Ramos hoped to have “the college experience,” she said, and one day become a nurse. But her biggest obstacle wasn’t competing for a spot at the school of her choice — it was attending and affording college at all.",U.S.,https://www.nytimes.com/2023/07/01/us/affirmative-action-students.html
2023-07-03,Cameron Norrie is Going to Wimbledon. Great Expectations Follow Him.,"Cameron Norrie has had two mystical moments at Wimbledon. Both took place on Centre Court, the most revered venue in the sport.",Sports,https://www.nytimes.com/2023/07/01/sports/tennis/cameron-norrie-wimbledon.html
2023-07-03,"Top 10 Hardest and Easiest Spelling Bee Words, June 24-30","Note: If you plan to play Spelling Bee’s Past Puzzles from the last week, this list may contain spoilers.",The Upshot,https://www.nytimes.com/2023/07/01/upshot/spelling-bee-words.html
2023-07-03,Fifty Years Ago the Men Boycotted Wimbledon. That Changed Everything.,"Stan Smith’s 1972 Wimbledon cup sits alongside his 1971 United States Open winner’s prize in a trophy case inside his Hilton Head Island, S.C., home. Smith had hoped to defend his title in ’73.",Sports,https://www.nytimes.com/2023/07/01/sports/tennis/wimbledon-boycott-players.html
2023-07-03,Boy George Loves His Deeply Flawed Heroes,"Boy George was chatting with Leonardo DiCaprio, an acquaintance from years ago, at a Cannes party in May when he realized the actor wasn’t particularly interested in their reunion.",Arts,https://www.nytimes.com/2023/07/01/arts/music/boy-george-favorites.html
2023-07-03,Supreme Court Decisions on Education Could Offer Democrats an Opening,"Ever since President Bill Clinton advised “mend it, don’t end it,” affirmative action has had an uneasy place in the Democratic coalition, as omnipresent as the party’s allegiance to abortion rights and its promises to expand financial aid for higher education — but unpopular with much of the public.",U.S.,https://www.nytimes.com/2023/07/01/us/politics/supreme-court-affirmative-action-student-loans-democrats-2024.html
2023-07-03,"American Cities Have a Conversion Problem, and It’s Not Just Offices","There is an aging office building on Water Street in Lower Manhattan where it would make all the sense in the world to create apartments. The 31-story building, once the headquarters of A.I.G., has windows all around and a shape suited to extra corner units. In a city with too little housing, it could hold 800 to 900 apartments. Right across the street, one office building not so different from this one has already been turned into housing, and another is on the way.",The Upshot,https://www.nytimes.com/2023/07/01/upshot/american-cities-office-conversion.html
2023-07-03,A ‘Cage Match’ Between Elon Musk and Mark Zuckerberg May Be No Joke,"The day after Elon Musk challenged Mark Zuckerberg on social media to “a cage match” last month, Dana White, president of the Ultimate Fighting Championship, received a text.",Technology,https://www.nytimes.com/2023/07/01/technology/elon-musk-mark-zuckerberg-cage-match.html
2023-07-03,Why Bolsonaro Was Barred in Brazil but Trump Can Run in the U.S.,"Down in the polls, the far-right president warned of voter fraud, despite no evidence. After losing, he claimed the vote was rigged. Thousands of his supporters — draped in the national flag and misled by conspiracy theories — then stormed Congress in a bid to overturn the results.",World,https://www.nytimes.com/2023/07/01/world/americas/trump-bolsonaro-brazil-us.html
2023-07-03,The Mystery That Ended Two Women’s World Cup Dreams,Aminata Diallo was being escorted from her foul-smelling holding cell to an interview room inside the Hôtel de Police in Versailles the first time she heard the name Tonya Harding.,Sports,https://www.nytimes.com/2023/07/01/sports/soccer/psg-attack-diallo-hamraoui.html
2023-07-03,"Cannibalism, or ‘Clickbait’ for Paleoanthropology?","Everybody’s quick to see a cannibal. The Romans thought the ancient Britons feasted on human flesh, and the British thought the same about the Irish. Not a few prehistoric finds have been attributed, evocatively if not accurately, to the work of ancient cannibals. In 1871, Mark Twain commented on the discovery of the bones of a primeval man who purportedly had been made a meal of by his peers: “I ask the candid reader, Does not this look like taking advantage of a gentleman who has been dead two million years?”",Science,https://www.nytimes.com/2023/07/01/science/archaeology-hominids-cannibalism.html
2023-07-03,"To Foreign Policy Veteran, the Real Danger Is at Home","Everywhere he has gone as president of the Council on Foreign Relations, Richard N. Haass has been asked the same question: What keeps him up at night? He has had no shortage of options over the years — Russia, China, Iran, North Korea, climate change, international terrorism, food insecurity, the global pandemic.",U.S.,https://www.nytimes.com/2023/07/01/us/politics/richard-haass-biden-trump-foreign-policy.html
2023-07-03,Wagner Uprising Highlights China’s Risks With Russia,"Just three months ago, China’s top leader, Xi Jinping, was in Moscow clinking glasses with Vladimir V. Putin and expressing his confidence in the “firm support” the Russian president enjoyed among his people.",World,https://www.nytimes.com/2023/07/01/world/asia/wagner-uprising-china-russia.html
2023-07-03,"The Art of Drinking? Right This Way, S’il Vous Plaît.","On a recent morning at the Louvre, Anya Firestone handed out bottles of Evian. “Because ‘the art of drinking’ begins with hydration,” she said.",Style,https://www.nytimes.com/2023/07/01/style/anya-firestone-paris-tours.html
2023-07-03,An Early Heat Wave Upsets the Rhythm of Life in the South,"The drum line stood beneath a canopy of trees and rattled through rolls of sextuplets, with reddened shoulders glistening. As the sun blistered the parking lot, rows of trumpet, tuba and mellophone players marched back and forth, wiping sweat from their foreheads at the end of each passage of music.",U.S.,https://www.nytimes.com/2023/07/01/us/heat-wave-south.html
2023-07-03,Everyone Knew the Migrant Ship Was Doomed. No One Helped.,"From air and by sea, using radar, telephone and radio, officials watched and listened for 13 hours as the migrant ship Adriana lost power, then drifted aimlessly off the coast of Greece in a slowly unfolding humanitarian disaster.",World,https://www.nytimes.com/2023/07/01/world/europe/greece-migrant-ship.html
2023-07-03,"At the Front Lines of the Inflation Fight, Uncertainty Reigns","When prices started to take off in multiple countries around the world about two years ago, the word most often associated with inflation was “transitory.”  Today, the word is “persistence.”",Business Day,https://www.nytimes.com/2023/07/01/business/economy/central-banks-inflation.html
2023-07-03,Mutiny Provided Glimpse of a Post-Putin Russia. Is the Window Still Open?,"For a millisecond, it seemed possible.",World,https://www.nytimes.com/2023/07/01/world/europe/putin-russia-wagner-rebellion.html
2023-07-03,"Paper Magazine, the Oral History: ‘They Were Wide Open’","Paper Magazine made its debut in June 1984. The first issue was a foldout poster with a look as minimalist as the publication’s name, matching the raw aesthetic that reigned over Lower Manhattan in those days.",Style,https://www.nytimes.com/2023/07/01/style/paper-magazine-history.html
2023-07-03,Does It Help to Know How Much the Boss Makes?,"In 1933, the U.S. government asked 2,000 corporations listed on stock exchanges in New York to disclose how much they paid their top bosses — its first effort at making the pay of executives more visible. The idea was to encourage the “more conservative management of industry,” The New York Times reported when it published some of the results on its front page.",Business Day,https://www.nytimes.com/2023/07/01/business/ceo-pay-worker-salary.html
2023-07-03,The Dark Universe Is Waiting. What Will the Euclid Telescope Reveal?,"At 11:12 a.m. on Saturday, the Euclid spacecraft launched into space on its mission to chart the history of our universe as far back as 10 billion years ago.",Science,https://www.nytimes.com/2023/07/01/science/spacex-euclid-launch.html
2023-07-03,A Mother Reckons With Questions From Her Childhood,"Some of the most poignant scenes in Beth Nguyen’s new memoir, “Owner of a Lonely Heart,” take place at night. Waking from restless dreams to scribble a sentence, checking in on her children in their beds, working at her desk after sunset, Nguyen is forever “writing in and into the darkness.” Awake at 3 in the morning, she nurses her newborn, counts the other lit-up windows and ponders questions familiar to all new parents: What was it like for my mom? Did she feel what I feel?",Books,https://www.nytimes.com/2023/07/01/books/review/owner-of-a-lonely-heart-beth-nguyen.html
2023-07-03,Are Escalators and Moving Walkways Safe?,"An airline passenger in Thailand had part of her leg amputated this week after an accident on a moving airport walkway, the Thai authorities said.",World,https://www.nytimes.com/2023/07/01/world/asia/thai-airport-moving-walkway-accident.html
2023-07-03,Ukraine Says It Is Ready for Arrival of Wagner Troops in Belarus,"As Belarus has ratcheted up its messaging about plans to offer refuge — and possibly work — to Wagner group mercenaries after a failed rebellion in Russia, Ukrainian forces say they are ready for any potential threat from their neighbor to the north.",World,https://www.nytimes.com/2023/07/01/world/europe/russia-ukraine-war.html
2023-07-03,These Runners Confront Challenges Together,"About nine months after Mauricio Blandino suffered a traumatic brain injury in 2011, he was still working on being able to walk without assistance, and his outlook on life was in decline.",Sports,https://www.nytimes.com/2023/07/01/sports/achilles-international-running.html
2023-07-03,An Indigenous Leader Who Raised Corruption Allegations Is Ousted,Happy Canada Day.,World,https://www.nytimes.com/2023/07/01/world/canada/an-indigenous-leader-who-raised-corruption-allegations-is-ousted.html
2023-07-03,Macron Cancels State Visit to Germany Amid Unrest at Home,President Emmanuel Macron of France on Saturday postponed a scheduled state visit to Germany as his government struggled to rein in violent protests over the deadly police shooting of a 17-year-old this past week.,World,https://www.nytimes.com/2023/07/01/world/europe/macron-france-unrest-police-shooting.html
2023-07-03,A Mini Challenge,"Because I’m the creator of the New York Times Mini Crossword, people often assume that I’m a trivia expert. The embarrassing truth is that my trivia knowledge is heavily weighted toward things with four and five letters and a lot of vowels. Sure, I can tell you Elvis Presley’s middle name (Aron), or that a small sewing kit is known as an “etui,” but I’m not going to be much help at your local pub trivia night.",Briefing,https://www.nytimes.com/2023/07/01/briefing/mini-crossword.html
2023-07-03,A Salute to the Honest(ish) Russian Warlord,"Now that Yevgeny Prigozhin has left the battlefield, who will tell Russians the truth?",Opinion,https://www.nytimes.com/video/opinion/100000008975204/prigozhin-wagner-russia.html
2023-07-03,A Salute to the Honest(ish) Russian Warlord,"The Opinion Video above is about Yevgeny Prigozhin, the Russian warlord who led a short-lived rebellion in Russia last week. The mutiny stunned the world, but it was a rebellion foretold. For months, Mr. Prigozhin, who commanded a totally ruthless mercenary force and is himself a product of the Russian kleptocracy, had been an unrestrained critic of the Russian military command, unleashing raw and candid critiques via his Telegram account. For reasons that are still not entirely clear, Russia’s leader, President Vladimir Putin, had allowed Mr. Prigozhin to hammer away at the Kremlin, which is particularly astonishing given how many of the government’s critics have wound up either imprisoned or dead.",Opinion,https://www.nytimes.com/2023/07/01/opinion/prigozhin-wagner-russia.html
2023-07-03,Where Reparations Stand in the U.S.,This article is also a weekly newsletter. Sign up for Race/Related here.,U.S.,https://www.nytimes.com/2023/07/01/us/black-americans-reparations.html
2023-07-03,Jersey Boy Takes On Florida Man,I offered to help prep Chris Christie for the debate with Donald Trump.,Opinion,https://www.nytimes.com/2023/07/01/opinion/chris-christie-florida-trump.html
2023-07-03,I Know What Drives People to the Depths of the Ocean,"On my fourth birthday, my father found me at the bottom of the pool, sharing air supply, or “buddy breathing,” with a family friend; I was having my first scuba experience.",Opinion,https://www.nytimes.com/2023/07/01/opinion/ocean-exploration.html
2023-07-03,How to Stave Off Constitutional Extinction,"Every Fourth of July, Americans celebrate independence, but it might be more significant, more pregnant with meaning, to celebrate amendment — the writing, ratifying and especially the amending of constitutions. Except lately there hasn’t been much to celebrate, with amendment having become a lost art. And a constitution that can no longer be amended is dead.",Opinion,https://www.nytimes.com/2023/07/01/opinion/constitutional-amendments-american-history.html
2023-07-03,Breakthroughs in Cancer Research and Treatment,To the Editor:,Opinion,https://www.nytimes.com/2023/07/01/opinion/letters/cancer-research-treatment.html
2023-07-03,The Supreme Court Has Opened the Door to Discrimination. Here’s How States Can Slam It Shut.,"The Supreme Court has sided with a Christian graphic designer who refuses to create wedding websites for gay or lesbian couples. The result comes as little surprise. Writing for a six-justice conservative majority, Neil Gorsuch said that Colorado’s anti-discrimination law violates the designer’s right to free speech because the state “seeks to force an individual to speak in ways that align with its views but defy her conscience about a matter of major significance.”",Opinion,https://www.nytimes.com/2023/07/01/opinion/supreme-court-gay-303-creative.html
2023-07-03,Long Live the King!,"LONDON — With the thrill of coronation still in the air outside Buckingham Palace, it’s tempting for a Yankee to mock the British for the shop windows full of coronation plates and King Charles III coffee mugs. And how can we not roll our eyes when a slice of cake from the 2005 wedding between the new king and queen now sells for $1,600?",Opinion,https://www.nytimes.com/2023/07/01/opinion/british-royals-king-charles.html
2023-07-03,"John Roberts, Conservative Statesman","The unusual powers of the American Supreme Court have unusual effects on all its members, but especially on whichever justices hold the balance of power: Their role fits especially uneasily with the letter of the Constitution and modern democratic norms, evoking more ancient forms or concepts — the Roman censor, the Greek archon, Plato’s philosopher-king.",Opinion,https://www.nytimes.com/2023/07/01/opinion/john-roberts-supreme-court-statesman.html
2023-07-03,Botswana and De Beers Sign Deal to Continue Rich Diamond Partnership,"A Botswana government official and the chief executive of De Beers, the international diamond conglomerate, signed interim agreements on Saturday to continue a lucrative, decades-long diamond mining partnership that had appeared to be breaking down in recent months.",World,https://www.nytimes.com/2023/07/01/world/africa/botswana-de-beers-diamond-deal.html
2023-07-03,Child’s Play,"Dear readers,",Books,https://www.nytimes.com/2023/07/01/books/childs-play.html
