aligned_date,headline,text,section,url
2015-03-02,U.S. Appeals Court Rejects Fifth Attempt to Move Boston Marathon Bombing Trial ,"BOSTON — A divided federal appeals court has rejected a motion by Dzhokhar Tsarnaev, accused in the Boston Marathon bombing, to move his trial out of the city, paving the way for opening statements in the case to begin Wednesday.",U.S.,https://www.nytimes.com/2015/03/01/us/us-appeals-court-rejects-fifth-attempt-to-move-boston-marathon-bombing-trial.html
2015-03-02,"Golf’s Spring Training Comes With Balls, Gloves and Cleats, but No Batting Cage","PALM BEACH GARDENS, Fla. — A few minutes from the spring training home of the Miami Marlins and the St. Louis Cardinals, several of the best players in the world have spent this week honing their swings. They have worked on moving the ball in different directions and set different goals for each day.",Sports,https://www.nytimes.com/2015/03/01/sports/golf/golfs-spring-training-comes-with-balls-gloves-and-cleats-but-no-batting-cage.html
2015-03-02,Mexico Moves to Save Endangered Porpoise,"MEXICO CITY — The Mexican government is making a final effort to save the vaquita, a tiny porpoise that has been driven to the edge of extinction as a result of illegal fishing for another endangered species that is served as a delicacy in China.",World,https://www.nytimes.com/2015/03/01/world/americas/mexico-moves-to-save-endangered-porpoise.html
2015-03-02,"At St. John’s, a Heralded Class Still Seeks a Capstone","They arrived four years ago, a small army of prize recruits that was supposedly Coach Steve Lavin’s message to the college basketball establishment that St. John’s was back, and perhaps soon to be better than ever.",Sports,https://www.nytimes.com/2015/03/01/sports/at-st-johns-a-heralded-class-still-seeks-a-capstone.html
2015-03-02,"Germans at the Crux of Crises, but Reluctantly","BERLIN — Germany has become Europe’s indispensable nation, at the center of crises over Ukraine and Greece. But a country uncomfortable with leadership, often labeled a reluctant hegemon, has had a rocky month.",World,https://www.nytimes.com/2015/03/01/world/europe/germans-at-the-crux-of-crises-but-reluctantly.html
2015-03-02,G.O.P. Race Starts in Lavish Haunts of Rich Donors,"PALM BEACH, Fla. — Instead of the corn dogs and pork chops on a stick ritually served up on the hustings of Iowa, the latest stop on the donor trail featured meals of diver scallops and chocolate mousse. The setting was the Breakers, a sprawling Italian Renaissance-inspired hotel here, where the cheapest available rooms fetched $800 a night. And for the half-dozen Republican presidential candidates invited to the annual winter meeting this weekend of the Club for Growth, an influential bloc of deep-pocketed conservatives, the prize was not votes. It was money.",U.S.,https://www.nytimes.com/2015/03/01/us/politics/gop-race-starts-in-lavish-haunts-of-rich-donors.html
2015-03-02,Tupperware’s Sweet Spot Shifts to Indonesia ,"JAKARTA, Indonesia — The party had the feel of 1960s America, almost. A group of women, thrilled to get a break from the daily routine of hanging laundry and shuttling their children to and from school, sat in a circle, listening to a friend hawk plastic storage bowls in a dizzying array of pastels.",World,https://www.nytimes.com/2015/03/01/world/asia/tupperwares-sweet-spot-shifts-to-indonesia.html
2015-03-02,"In Tributes, Knicks Remember Anthony Mason","There was a somber undercurrent before the Knicks’ game against the Toronto Raptors on Saturday night as the organization paid tribute to Anthony Mason, a former player who died early Saturday after suffering congestive heart failure just over three weeks ago.",Sports,https://www.nytimes.com/2015/03/01/sports/basketball/in-tributes-knicks-remember-anthony-mason.html
2015-03-02,"Winning Lottery Numbers for Feb. 28, 2015"," Feb. 28, 2015",New York,https://www.nytimes.com/2015/03/01/nyregion/winning-lottery-numbers-for-feb-28-2015.html
2015-03-02,"Quotation of the Day for Sunday, March 1, 2015",“Do I have rogue correction officers at Attica or Clinton or Great Meadow? Yep. Do I have to rigorously pursue those rogue officers when I find evidence that they’ve engaged in excessive force or have done something untoward to the inmate population? Absolutely.”,Corrections,https://www.nytimes.com/2015/03/01/pageoneplus/quotation-of-the-day-for-sunday-march-1-2015.html
2015-03-02,Six Singers Win the George London Awards,Six young American and Canadian opera singers were given George London Awards Friday night after winning the final round of a singing competition at the Gilder Lehrman Hall at the Morgan Library & Museum in New York. ,Arts,https://artsbeat.blogs.nytimes.com/2015/02/28/six-singers-win-the-george-london-awards/
2015-03-02,"Jonathan Jacobson, James McKibben","Jonathan Bohm Jacobson and James Dey McKibben were married Monday at the Yale University Battell Chapel in New Haven. The Rev. Candice Provey, a Presbyterian minister and an associate chaplain at Yale, performed the ceremony.",Fashion & Style,https://www.nytimes.com/2015/03/01/fashion/weddings/jonathan-jacobson-james-mckibben.html
2015-03-02,Reclaiming Their Moment,"Samantha Marie Hoover and Ryan Clark Holiday were married Friday evening at the Barr Mansion, an events space in Austin, Tex. Joseph H. Totten, a Universal Life minister and a friend of the couple, officiated.",Fashion & Style,https://www.nytimes.com/2015/03/01/fashion/weddings/reclaiming-their-moment.html
2015-03-02,Sarah Cooper and Jeffrey Palm,"Sarah Anne Cooper and Jeffrey de Blanc Palm were married Wednesday at the Manhattan Marriage Bureau by Angel L. Lopez of the New York City Clerk’s office. On Feb. 7, Pastor Cory Casterton, who was ordained through the Elim Fellowship in Lima, N.Y., led another ceremony on the beach at La Concha Resort in San Juan, P.R.",Fashion & Style,https://www.nytimes.com/2015/03/01/fashion/weddings/sarah-cooper-and-jeffrey-palm.html
2015-03-02,Marianna Nadelman and Jason Rubinov,"Marianna Nadelman, the daughter of Laura Melnik Grossman of Manhattan and Gennady Nadelman of Hewlitt, N.Y., is to be married Sunday evening to Dr. Jason Ryan Rubinov, a son of Ludmilla M. Rubinov and Simon Rubinov of Brooklyn. Rabbi Gary M. Katz is to officiate at the Plaza Hotel in Manhattan.",Fashion & Style,https://www.nytimes.com/2015/03/01/fashion/weddings/marianna-nadelman-and-jason-rubinov.html
2015-03-02,"Elizabeth Joyce,  Ronald Magnusson","Elizabeth Ann Joyce and Ronald George Magnusson were married Saturday evening at Pierre’s, a restaurant in Islamorada, Fla. The Rev. Stephen W. Brown, a Presbyterian minister, officiated.",Fashion & Style,https://www.nytimes.com/2015/03/01/fashion/weddings/elizabeth-joyce-ronald-magnusson.html
2015-03-02,Ashley Wisneski and William Heward,"Ashley Hudson Wisneski and William Jordan Heward were married Saturday evening at the Boston Public Library. Thomas A. Welch, a Massachusetts justice of the peace, officiated.",Style,https://www.nytimes.com/2015/03/01/style/ashley-wisneski-and-william-heward.html
2015-03-02,Ronald Strouse and Frederick Cresson,"Ronald Lee Strouse and Frederick Lloyd Cresson were married Saturday by Libby White, a former mayor of Doylestown, Pa. The marriage took place at the Mercer Museum in Doylestown.",Fashion & Style,https://www.nytimes.com/2015/03/01/fashion/weddings/ronald-strouse-and-frederick-cresson.html
