aligned_date,headline,text,section,url
2016-01-01,No More Statutes of Limitations for Rape,"THIS week, Bill Cosby was charged with three counts of aggravated indecent assault. The felony charges stemmed from an incident more than a decade ago, in which Andrea Constand says Mr. Cosby drugged and assaulted her in his home. Mr. Cosby says he intends to fight the charges, and no court has found him liable for sexual misconduct.",Opinion,https://www.nytimes.com/2016/01/01/opinion/no-more-statutes-of-limitations-for-rape.html
2016-01-01,"Freddie Gray Complained of ‘Bad Back’ Before Arrest, Filing Says","Freddie Gray, the 25-year-old black man who died of a broken neck after he was taken into police custody in Baltimore, complained of back trouble less than two weeks before that encounter, according to a document filed in court by defense lawyers for a police officer charged with murder in his death. ",U.S.,https://www.nytimes.com/2016/01/01/us/freddie-gray-complained-of-bad-back-before-arrest-filing-says.html
2016-01-01,"Justice in Taxes, Most Likely Short-Lived",WASHINGTON — Is the party over for America’s super-rich?,Business Day,https://www.nytimes.com/2016/01/01/business/economy/justice-in-taxes-most-likely-short-lived.html
2016-01-01,No. 1 Clemson Advances to National Championship Game,"MIAMI GARDENS, Fla. — No. 1 Clemson rose to prominence this season largely behind its offense and quarterback Deshaun Watson, who finished third in the Heisman Trophy voting. The Orange Bowl between the Tigers and No. 4 Oklahoma featured the best two quarterbacks in college football — Watson and Baker Mayfield — but the Tigers’ defense essentially ended the comparison.",Sports,https://www.nytimes.com/2016/01/01/sports/ncaafootball/clemson-beats-oklahoma-in-orange-bowl-college-football-playoff-semifinal.html
2016-01-01,Prosecutors’ Secrecy Orders on Subpoenas Stir Constitutional Questions,"Marked with an official seal, the federal subpoena arrived at the red brick offices of Zuccarello, Zerillo & Co., an accounting firm in Whitestone, Queens, in early March.",New York,https://www.nytimes.com/2016/01/01/nyregion/prosecutorssecrecy-orders-on-subpoenas-stir-constitutional-questions.html
2016-01-01,Ackman Sheds Some Valeant Shares,"The hedge fund of William A. Ackman said on Thursday that it had sold some of its shares in Valeant Pharmaceuticals, the embattled drug company that Mr. Ackman earlier this year went to considerable lengths to defend.",Business Day,https://www.nytimes.com/2016/01/01/business/dealbook/ackman-sheds-some-valeant-shares.html
2016-01-01,Holiday Today New Year’s Day,NEW YORK,New York,https://www.nytimes.com/2016/01/01/nyregion/holiday-today-new-years-day.html
2016-01-01,"Howard Davis Jr., Who Beat Grief to Win Boxing Gold, Dies at 59","Howard Davis Jr., a boxer from Long Island who in 1976 won an Olympic gold medal and also received the Val Barker Trophy, awarded to the most outstanding Olympic fighter, over his teammates and fellow gold medalists Michael and Leon Spinks and Sugar Ray Leonard, died on Wednesday at his home in Plantation, Fla. He was 59.",Sports,https://www.nytimes.com/2016/01/01/sports/howard-davis-jr-who-beat-grief-to-win-boxing-gold-dies-at-59.html
2016-01-01,Flooding in Missouri Raises Vexing Questions ,"ARNOLD, Mo. — Linda Thorne peered out the back of her trailer near here on Monday night to find water sloshing up the wooden steps.",U.S.,https://www.nytimes.com/2016/01/01/us/flooding-in-missouri-raises-vexing-questions.html
2016-01-01,"As Brooklyn Park Stalls, Fingers Point at Religious Group","There is little to indicate that the misshapen expanse of concrete, bounded by a chain-link fence and at times dusted with crumbling pieces of the Brooklyn-Queens Expressway that runs alongside it is, in fact, a city park. A few thousand feet west is one of New York’s glossiest green esplanades, the sprawling Brooklyn Bridge Park, alongside the East River in the same Dumbo neighborhood. But here, the only clue that the lot is not a car park or a stalled construction site is the green parks department sign proclaiming Bridge Park 2.",New York,https://www.nytimes.com/2016/01/01/nyregion/stalled-brooklyn-park-exposes-rift-with-religious-group.html
