aligned_date,headline,text,section,url
2021-03-01,How to watch the Golden Globes on TV and Online.,"When the 78th annual Golden Globes are handed out on Sunday, they will be the first major awards show of the season, coming nearly two months after we would typically find out the best picture winner.",Movies,https://www.nytimes.com/2021/02/28/movies/how-to-watch-the-golden-globes-on-tv-and-online.html
2021-03-01,What will win tonight? Here are our predictions.,"The Hollywood Foreign Press Association, which puts on the Golden Globes, likes to bestow its trophies on films that already have plenty of Oscar momentum, but the small size of the group — around 90 eccentric journalists who vote — leaves every category open to a shock winner.",Movies,https://www.nytimes.com/2021/02/28/movies/what-will-win-tonight-here-are-our-predictions.html
2021-03-01,Daniel Kaluuya and Chadwick Boseman are both recognized for film roles.,"As soon as nominations were announced on Feb. 3, the foreign press association was harshly criticized for overlooking films with mostly Black casts, including Spike Lee’s “Da 5 Bloods.” But the ceremony began with back-to-back honors for Black actors. The night’s first winner was Daniel Kaluuya, for best supporting actor for his performance as the Black Panther leader Fred Hampton in “Judas and the Black Messiah.” John Boyega then won best supporting actor in a TV series for playing a police officer in Amazon’s “Small Axe.”",Movies,https://www.nytimes.com/2021/02/28/movies/daniel-kaluuya-john-boyega.html
2021-03-01,Full Text of Cuomo’s Statement in Response to Harassment Accusations,STATEMENT FROM GOVERNOR ANDREW M. CUOMO,New York,https://www.nytimes.com/2021/02/28/nyregion/full-text-cuomos-statement-harassment-accusations.html
2021-03-01,Forget ‘Succession.’ You Can Watch ‘90 Day Fiancé’ for 100 Hours Straight.,"“Ninety Day Fiancé” is, on some Sunday nights, the most-watched show on television. And in the latest innovation in streaming, Discovery+ includes a channel that lets you watch it for four days straight without seeing the same episode twice.",Business Day,https://www.nytimes.com/2021/02/28/business/media/cable-tv-streaming-discovery.html
2021-03-01,Voter Suppression Is Grand Larceny,"In 1890, Mississippi became one of the first states in the country to call a constitutional convention for the express purpose of writing white supremacy into the DNA of the state.",Opinion,https://www.nytimes.com/2021/02/28/opinion/voter-suppression-us.html
2021-03-01,"CPAC Takeaways: Trump Dominates, and DeSantis and Noem Stand Out","Any lingering belief that Donald J. Trump would fade from the political scene like other past presidents evaporated fully on Sunday as he spoke for more than 90 minutes in a grievance-filled and self-promoting address that sought to polish up his presidential legacy, take aim at his enemies and tease his political future.",U.S.,https://www.nytimes.com/2021/02/28/us/politics/cpac-trump-kristi-noem.html
2021-03-01,Golden Globes Winners 2021: The Complete List,Streaming services dominated Sunday night’s Golden Globe Awards ceremony.,Movies,https://www.nytimes.com/2021/02/28/movies/golden-globes-winners-list.html
2021-03-01,Daniel Kaluuya overcomes the first hiccup of the night.,Daniel Kaluuya experienced the first glitch of the night when the time came to accept his best supporting actor win — the first Golden Globe Award of his career — for playing the radical leader Fred Hampton in “Judas and the Black Messiah.”,Movies,https://www.nytimes.com/2021/02/28/movies/daniel-kaluuya-best-supporting-actor.html
2021-03-01,Transcript: Amy Poehler and Tina Fey skewer the H.F.P.A.’s lack of diversity.,"What’s 2,800 miles between friends? On Sunday night at the Golden Globes, Amy Poehler and Tina Fey managed to convey their signature chemistry and cheeky brand of comedy while deftly hosting from opposite ends of the country: Fey at the Rainbow Room in Rockefeller Center in New York, and Poehler at the Beverly Hilton in Beverly Hills. The rooms were not completely empty: first responders sat at tables, masked and socially distant.",Movies,https://www.nytimes.com/2021/02/28/movies/tina-fey-amy-poehler-golden-globes.html
2021-03-01,"Corrections: March 1, 2021","An Op-Ed essay on Tuesday about medical care during the pandemic misidentified the source of a statistic about missed preventive screenings. It is the Prevent Cancer Foundation, not The Journal of the National Medical Association.",Corrections,https://www.nytimes.com/2021/02/28/pageoneplus/corrections-march-1-2021.html
2021-03-01,Quotation of the Day: Salvador’s Combative Boss May Tighten Grip in Vote,"“The president has had some outbursts, but they should be understood as such, as outbursts, as errors, and not as a trend, as an attitude, as the birth of a new dictatorship.”",Today’s Paper,https://www.nytimes.com/2021/02/28/todayspaper/quotation-of-the-day-salvadors-combative-boss-may-tighten-grip-in-vote.html
2021-03-01,Collin Morikawa Wins Workday Title on a Day of Tributes to Woods,"BRADENTON, Fla. — Although he was atop the leaderboard, Collin Morikawa stumbled repeatedly on Saturday and Sunday at the PGA Tour’s Workday Championship, even calling one of his setbacks “stupidity at its finest.”",Sports,https://www.nytimes.com/2021/02/28/sports/golf/pga-workday-final-round.html
2021-03-01,"Emma Corrin, as Princess Diana, wins her first Golden Globe for ‘The Crown.’","Emma Corrin’s uncanny and sympathetic portrayal of Princess Diana on Season 4 of Netflix’s “The Crown” — aptly nicknamed “The Diana Season” — earned her a Golden Globe for best performance by an actress in a television series, drama. This was her first Golden Globe nomination.",Movies,https://www.nytimes.com/2021/02/28/movies/emma-corrin-princess-diana.html
2021-03-01,Your Monday Briefing,(Want to get this briefing by email? Here’s the sign-up.),Briefing,https://www.nytimes.com/2021/02/28/briefing/spain-protests-coronavirus-hong-kong.html
2021-03-01,"‘Minari’ wins best foreign-language film, but not without controversy.","“Minari,” Lee Isaac Chung’s semi-autobiographical story about a Korean-American family seeking the American dream in rural Arkansas during the 1980s, was the favorite for the best foreign-language film Golden Globe, and on Sunday night, it secured the trophy.",Movies,https://www.nytimes.com/2021/02/28/movies/minari-foreign-language-film.html
2021-03-01,‘Allen v. Farrow’ Episode 2 Recap: A Family Torn Apart,"At the end of Episode 1 of “Allen v. Farrow,” the HBO documentary series that investigates the decades-old sexual abuse accusations by Woody Allen’s adopted daughter, Dylan Farrow, the family has just started to cope with the revelation that Mr. Allen and Soon-Yi Previn were involved in a secret relationship.",Arts,https://www.nytimes.com/2021/02/28/arts/television/allen-v-farrow-episode-2-recap.html
2021-03-01,Chloé Zhao becomes the first Asian woman to win the Golden Globe for best director.,"Chloé Zhao, whose drama “Nomadland” offered an intimate portrait of itinerant Americans, won the Golden Globe for best director on Sunday, making her the first Asian woman ever to win that prize.",Movies,https://www.nytimes.com/2021/02/28/movies/chloe-zhao-asian-director.html
2021-03-01,Transcript: Jane Fonda calls for diversity in Golden Globe nominees and voters.,"“We are a community of storytellers, aren’t we?” Jane Fonda said on Sunday night, while accepting the Cecil B. DeMille Award, given by the Hollywood Foreign Press Association during the Golden Globes for lifetime achievement in film. “And in turbulent, crisis-torn times like these, storytelling has always been essential.”",Movies,https://www.nytimes.com/2021/02/28/movies/jane-fonda-golden-globes.html
2021-03-01,Chadwick Boseman wins a best actor Golden Globe and his widow accepts in an emotional speech.,"Chadwick Boseman won his first Golden Globe, and it was for a film he never got to see.",Movies,https://www.nytimes.com/2021/02/28/movies/chadwick-boseman-golden-globes.html
2021-03-01,"At This Year’s Golden Globes, You Had to (Not) Be There","With the 2021 Golden Globe Awards, there is now one more way in which the stars are just like us. They too, sit at home, drink through teleconferences and endure technical glitches.",Arts,https://www.nytimes.com/2021/02/28/arts/television/review-golden-globes.html
2021-03-01,Trump Revives Familiar Falsehoods in CPAC Speech,"Former President Donald J. Trump, in his first public appearance since leaving the White House, mounted inaccurate attacks against his successor and revived familiar falsehoods in a speech on Sunday at the Conservative Political Action Conference.",U.S.,https://www.nytimes.com/2021/02/28/us/politics/trump-cpac-fact-check.html
2021-03-01,"How One Sports Season Fell Apart, Even in a Bubble","The coronavirus infiltrated the National Women’s Hockey League season at the end of January, and players still don’t know how that was allowed to happen.",Sports,https://www.nytimes.com/2021/03/01/sports/hockey/how-the-nwhl-bubble-fell-apart.html
