Date,Disney,Microsoft,Walmart,Google,Exxon Mobil,Apple,Intel,JP Morgan,Johnson & Johnson,Coca-Cola
2000-01-03,22.83318328857422,35.726707458496094,14.272881507873535,,17.568422317504883,0.8410477638244629,24.710649490356445,23.237136840820312,23.72748756408691,13.913955688476562
2000-01-04,24.170692443847656,34.51984786987305,13.738815307617188,,17.231914520263672,0.7701388001441956,23.55678367614746,22.72728157043457,22.85881996154785,13.929386138916016
2000-01-05,25.173818588256836,34.883846282958984,13.4584379196167,,18.171329498291016,0.7814086079597473,23.752058029174805,22.58699607849121,23.100109100341797,14.052789688110352
2000-01-06,24.170692443847656,33.71528625488281,13.605299949645996,,19.110748291015625,0.7137866616249084,22.367401123046875,22.907657623291016,23.82400131225586,14.06821346282959
2000-01-07,23.788545608520508,34.155879974365234,14.63337230682373,,19.054664611816406,0.7475981116294861,23.290504455566406,23.328535079956055,24.83745002746582,14.993760108947754
2000-01-10,27.418926239013672,34.404945373535156,14.366345405578612,,18.788257598876953,0.7344492077827454,24.355615615844727,22.92770004272461,24.21007919311523,14.51556396484375
2000-01-11,27.70553207397461,33.52372741699219,14.152718544006348,,18.844350814819336,0.6968815326690674,25.473976135253903,22.38659286499023,24.29051399230957,15.00917625427246
2000-01-12,25.747041702270508,32.43183135986328,13.899035453796388,,18.732181549072266,0.655087411403656,25.917781829833984,22.526859283447266,24.0653076171875,15.17886734008789
2000-01-13,26.606863021850582,33.04482650756836,13.912385940551758,,19.166828155517575,0.7269354462623596,25.86452293395996,22.86756896972656,24.033132553100582,14.947481155395508
2000-01-14,25.651500701904297,34.404945373535156,13.778870582580566,,18.788257598876953,0.7546415328979492,29.272886276245117,23.68927764892578,24.11355209350586,15.07088565826416
2000-01-18,26.36802673339844,35.34357833862305,14.00584602355957,,19.012598037719727,0.7809389233589172,29.006603240966797,22.767372131347656,23.50227928161621,16.042705535888672
2000-01-19,26.559099197387695,32.79579162597656,13.685419082641602,,19.194873809814453,0.8006623983383179,28.420804977416992,23.769454956054688,23.582714080810547,16.104402542114258
2000-01-20,25.69927024841309,32.48927688598633,13.53853702545166,,18.774229049682617,0.8527877926826477,27.160417556762695,23.74940299987793,23.663131713867188,16.258665084838867
2000-01-21,25.0305118560791,31.799652099609375,13.338258743286133,,19.06867218017578,0.8363519310951233,27.81723403930664,23.38865852355957,23.132287979125977,16.505470275878906
2000-01-24,25.460430145263672,31.03339385986328,12.684040069580078,,18.90043067932129,0.7983143329620361,28.065767288208008,23.40870475769043,21.53973960876465,16.011850357055664
2000-01-25,28.660898208618164,31.512300491333008,13.057884216308594,,18.85836410522461,0.843395471572876,28.846845626831055,23.929780960083008,21.9418888092041,16.258665084838867
2000-01-26,27.992137908935547,30.45870018005371,13.231453895568848,,18.732181549072266,0.8278987407684326,27.4089412689209,25.152326583862305,21.491472244262695,15.56450653076172
2000-01-27,28.37429428100586,30.26713752746582,12.63062858581543,,18.171329498291016,0.8264902830123901,27.87047576904297,25.873828887939453,20.719322204589844,14.685245513916016
2000-01-28,28.087682723999023,30.11388397216797,11.776127815246582,,17.694616317749023,0.7635640501976013,26.69886016845703,24.591161727905273,21.74886131286621,14.052789688110352
2000-01-31,27.7533016204834,29.99894905090332,11.696016311645508,,18.59195899963379,0.7795304656028748,28.101261138916016,25.873828887939453,22.151018142700195,14.176194190979004
2000-02-01,27.51445960998535,31.55061912536621,12.537171363830566,,18.662065505981445,0.7532328367233276,28.811338424682617,26.855878829956055,21.82928466796875,14.3458833694458
2000-02-02,28.46982192993164,30.899293899536133,12.470409393310549,,18.802282333374023,0.7424320578575134,28.420804977416992,26.414945602416992,21.97406768798828,13.913955688476562
2000-02-03,28.947509765625,31.76133918762207,12.470409393310549,,18.479801177978516,0.776243269443512,29.60130500793457,26.67549514770508,21.443214416503903,13.636289596557615
2000-02-04,29.138574600219727,32.661705017089844,12.029810905456545,,18.14328956604004,0.8114633560180664,29.76111602783203,26.214536666870117,21.1375732421875,13.883109092712402
2000-02-07,29.04303741455078,32.680850982666016,11.909643173217772,,18.115245819091797,0.8570136427879333,30.666744232177734,26.354825973510746,20.960620880126953,14.037362098693848
2000-02-08,28.708660125732425,33.696128845214844,12.710749626159668,,17.70863151550293,0.8631188273429871,30.915353775024418,27.276744842529297,21.121482849121097,14.114489555358888
2000-02-09,28.8042049407959,31.876277923583984,12.350248336791992,,17.201614379882812,0.8462127447128296,29.72559928894043,26.57530212402344,20.590639114379883,14.06821346282959
2000-02-10,28.230981826782227,32.48927688598633,12.176676750183104,,17.11700439453125,0.8527877926826477,30.577960968017575,26.655458450317383,20.07586669921875,13.991085052490234
2000-02-11,28.947509765625,30.631105422973633,11.976405143737791,,16.665821075439453,0.8170979619026184,30.080753326416016,26.495121002197266,20.00288772583008,13.713421821594238
2000-02-14,28.27874183654785,30.535335540771484,12.577224731445312,,17.243907928466797,0.8701623678207397,31.217205047607425,25.352745056152344,20.051326751708984,13.358634948730469
2000-02-15,28.183210372924805,30.20966148376465,12.390305519104004,,17.892498016357422,0.8941121101379395,31.820955276489254,25.99407958984375,20.584087371826172,13.74427890777588
2000-02-16,28.230981826782227,29.92232894897461,11.268771171569824,,18.047588348388672,0.8574833869934082,30.453651428222656,25.493040084838867,20.61637306213379,13.219803810119627
2000-02-17,27.89661026000977,30.535335540771484,10.334156036376951,,17.56821632385254,0.8631188273429871,31.25272750854492,25.13228225708008,20.454946517944336,12.911288261413574
