Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,mean_score,mean_class,majority_vote_score,median_score,next_return,Date
-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.0079369568502818,-0.0004651453877221217,0.002436771451627045,-0.006482446647653624,-0.1363636363636363,0.0,0.0,0.0,0.004202521205802086,2004-09-02
0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.0079369568502818,-0.0004651453877221217,0.002436771451627045,-0.2,0.0,0.0,0.0,-0.0034318944042910668,2004-09-03
-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.0079369568502818,-0.0004651453877221217,-0.2,0.0,0.0,0.0,-0.00342015678735076,2004-09-06
-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.0079369568502818,-0.3809523809523809,-1.0,-1.0,0.0,0.0045061044450403105,2004-09-07
0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.2105263157894736,0.0,0.0,0.0,-0.0018866443805775938,2004-09-08
-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,0.0,0.0,0.0,0.0,-0.004929211016695389,2004-09-09
-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.3225806451612903,-1.0,0.0,0.0,-0.0016875721113420263,2004-09-10
-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,-0.1666666666666666,0.0,0.0,0.0,-0.002224535254210113,2004-09-13
-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.1428571428571428,0.0,0.0,0.0,0.007104760902372623,2004-09-14
0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.217391304347826,0.0,0.0,0.0,-0.0027859411507009345,2004-09-15
-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.1818181818181818,0.0,0.0,0.0,-0.0044748115809032304,2004-09-16
-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,-0.2352941176470588,0.0,0.0,0.0,0.005658615159997833,2004-09-17
0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.3,0.0,0.0,0.0,-0.006287166695527706,2004-09-20
-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,0.0,0.0,0.0,0.0,0.014134837284171376,2004-09-21
0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0434782608695652,0.0,0.0,0.0,0.004691682585904688,2004-09-22
0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,0.0,0.0,0.0,0.0,-0.0015764203755412485,2004-09-23
-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.25,0.0,0.0,0.0,0.005971768254020227,2004-09-24
0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,0.05,0.0,0.0,0.0,-0.005891608307018157,2004-09-27
-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,0.0,0.0,0.0,0.0,-0.004251874799752356,2004-09-28
-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.0476190476190476,0.0,0.0,0.0,0.0001974670118925959,2004-09-29
0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.3181818181818182,-1.0,0.0,0.0,-0.01495364025215422,2004-09-30
-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,0.0,0.0,0.0,0.0,-0.003233034526313933,2004-10-01
-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,-0.1904761904761904,0.0,0.0,0.0,0.0006082641284488565,2004-10-04
0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.0384615384615384,0.0,0.0,0.0,-0.006628490902953652,2004-10-05
-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,-0.04,0.0,0.0,0.0,0.010082717169683291,2004-10-06
0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,-0.3636363636363636,-1.0,-1.0,-0.5,0.007583732559694127,2004-10-07
0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.21875,0.0,0.0,0.0,-0.0020010850067033958,2004-10-08
-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.0,0.0,0.0,0.0,0.0022730950098219685,2004-10-11
0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.1818181818181818,0.0,0.0,0.0,0.007354142887536924,2004-10-12
0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,0.0,0.0,0.0,0.0,0.009390083282511735,2004-10-13
0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,-0.3478260869565217,-1.0,0.0,0.0,-0.00443052907932632,2004-10-14
-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.4242424242424242,-1.0,0.0,0.0,-0.005224383994305533,2004-10-15
-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,0.0,0.0,0.0,0.0,0.00978040776041586,2004-10-18
0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,-0.1,0.0,0.0,0.0,-0.0003896613971866292,2004-10-19
-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.1111111111111111,0.0,0.0,0.0,-0.0025575975197824094,2004-10-20
-0.0025575975197824094,-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.0666666666666666,0.0,0.0,0.0,0.009810721608965473,2004-10-21
