Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2000-01-03,17.568422317504883,18.11524472004494,17.470274706792566,17.834822975152605,13458200
2000-01-04,17.231914520263672,17.540378409153664,17.161809090970493,17.358104292991396,14510800
2000-01-05,18.171329498291016,18.33958254920112,17.45625403192308,17.498317294650608,17485000
2000-01-06,19.110748291015625,19.25095921024538,17.989060937177584,18.08720858063841,19461600
2000-01-07,19.054664611816406,19.349107552837854,18.844348225372517,19.27900209068989,16603800
2000-01-10,18.788257598876953,18.984552827521938,18.746194335595888,18.886405213199446,8545400
2000-01-11,18.844350814819336,19.124772701944625,18.76022424868175,18.788266437394277,8722600
2000-01-12,18.732181549072266,18.92847686470626,18.577949515359844,18.676097173176842,10314200
2000-01-13,19.166828155517578,19.293017953176435,18.648047876253386,18.73217440802596,12056000
2000-01-14,18.788257598876953,19.18084805616692,18.620004545752682,19.18084805616692,11268800
2000-01-18,19.012598037719727,19.180851117699547,18.479796617783627,18.563923157773537,11929400
2000-01-19,19.194873809814453,19.26497926565746,18.774241074756432,18.90043089527384,13088800
2000-01-20,18.774229049682617,19.124756104381696,18.549891734675207,19.110735022193733,9613400
2000-01-21,19.06867218017578,19.11073542763205,18.69010295306935,18.844334860409006,14343600
2000-01-24,18.90043067932129,19.36312668259844,18.620008859153316,19.16683140848086,12459400
2000-01-25,18.85836410522461,19.32106002750893,18.802279751008328,18.84434301667054,11921600
2000-01-26,18.732181549072266,18.970540146627826,18.549907327412132,18.858371394836976,9298000
2000-01-27,18.171329498291016,18.69010973859716,17.89090774677418,18.69010973859716,10548400
2000-01-28,17.694616317749023,18.171333397624988,17.694616317749023,17.946995948271592,10361000
2000-01-31,18.59195899963379,18.746190937036484,17.470272182159654,17.638525204780773,14612200
2000-02-01,18.662065505981445,18.7181498501016,18.255454011110327,18.690107678041525,10665400
2000-02-02,18.802282333374023,19.040640871530144,18.676092519056077,18.676092519056077,11562800
2000-02-03,18.479801177978516,18.844349607893115,17.961020720023125,18.718159766768828,11610800
2000-02-04,18.14328956604004,18.732175317024335,17.96101540502109,18.732175317024335,11436200
2000-02-07,18.115245819091797,18.227414523853977,17.834824057186353,17.834824057186353,7101200
2000-02-08,17.70863151550293,18.367622553688708,17.652547171827546,18.17132735082486,9372000
2000-02-09,17.201614379882812,17.44130900648774,17.145215644211067,17.314411851226307,12408200
2000-02-10,17.11700439453125,17.52589494431824,16.99010732735598,17.201602439314765,13475600
2000-02-11,16.665821075439453,17.300306649377504,16.397927166443388,17.1452101757482,12465800
2000-02-14,17.243907928466797,17.356705363812452,16.792718187084184,16.80681786650239,9753600
2000-02-15,17.892498016357422,18.17449168091782,17.46950751951682,17.54000593565692,10783600
2000-02-16,18.047588348388672,18.132186418771745,17.68099671006203,17.821993494033816,10264200
2000-02-17,17.56821632385254,17.82201078117946,17.441319095189076,17.82201078117946,11678400
2000-02-18,16.91962242126465,17.455410464604697,16.91962242126465,17.44131077925364,13800600
2000-02-22,17.018310546875,17.35670280298519,16.806815386806132,17.20160635226802,10854800
2000-02-23,16.83500862121582,17.10290239324522,16.496616488126055,16.722211243519233,8881600
2000-02-24,16.42613410949707,16.567130968806058,16.130040704948197,16.39793473763527,10786400
2000-02-25,16.031333923339844,16.7786168590804,15.791639396781553,16.36972619612802,11800600
2000-02-28,16.581233978271484,16.990124952225457,15.763452030363537,16.01724642799014,11875200
2000-02-29,16.9901180267334,17.060616441782084,16.454330072363383,16.581227219451016,10469200
2000-03-01,17.159311294555664,17.2016103363664,16.510725986791027,17.004214807916295,9884600
2000-03-02,17.370805740356445,17.525902220181056,17.046513100723168,17.145210860611556,9802200
2000-03-03,17.07471466064453,17.258010524053596,16.75042197922849,17.258010524053596,10207800
