Price,Close,High,Low,Open,Volume
Ticker,DIS,DIS,DIS,DIS,DIS
Date,,,,,
2018-06-04,96.29430389404297,96.54407170382787,95.77555874868173,95.83320198422145,6598000
2018-06-05,96.0061264038086,96.55368955584584,95.85242086614312,96.40959244655532,5974400
2018-06-06,97.89857482910156,97.92739278253345,95.83320266051831,96.12138952391982,7833000
2018-06-07,98.43653106689453,98.90724141494825,97.80250676499604,97.89857638340457,7559200
2018-06-08,99.88710021972656,99.89670131872384,97.82172792741349,98.0714884248406,7090300
2018-06-11,100.2425308227539,100.66521370669943,99.6661497358811,99.83906479485127,8175000
2018-06-12,100.22331237792969,101.07827916868413,99.86787386359482,100.6075688446815,9215300
2018-06-13,102.12537384033203,103.6335744747527,98.62865380474422,99.13779052484226,22009400
2018-06-14,104.46934509277344,105.18021490608888,102.25987555228131,102.25987555228131,18068700
2018-06-15,104.56539916992188,105.11296229763472,103.60476158943737,103.9121653220291,16169200
2018-06-18,102.84586334228516,103.24933672098933,102.30790860945766,102.78822742922037,9288600
2018-06-19,101.92365264892578,102.77861956648337,101.59703936764923,101.70271009490543,8869500
2018-06-20,102.93231964111328,103.65279783646068,101.64506145430269,102.78822253622717,18625900
2018-06-21,101.72190856933594,103.02837621064133,101.62584628110994,102.79782525308238,7707800
2018-06-22,102.15420532226562,102.5961050957873,101.6450685347411,101.89483637866994,8959100
2018-06-25,100.33859252929688,101.90443647889826,99.6565407254239,101.82758371334221,7995800
2018-06-26,100.15607452392578,100.58835849630469,99.8198528421774,100.34819910518685,6550000
2018-06-27,99.86788177490234,101.71230416652296,99.40677984153874,100.38662694674872,8803300
2018-06-28,100.64599609375,100.98222511022342,99.59890464886541,99.81985451719797,6303600
2018-06-29,100.68443298339844,101.52019040419832,100.53073476558787,100.79971214356928,6774000
2018-07-02,101.1839599609375,101.22238634434925,99.81024790257148,100.05040730208245,5488900
2018-07-03,99.94473266601562,101.77954659530256,99.42598750389665,101.7123022592362,2406300
2018-07-05,101.19355773925781,101.44332555869626,100.31938136484777,100.57875028301164,6202800
2018-07-06,101.4646987915039,101.71647430920878,100.74811488972429,101.19355933612762,4134500
2018-07-09,102.66546630859375,102.71388723660841,101.43565304978256,101.68742857706539,4725200
2018-07-10,102.6751480102539,103.19806298305186,101.51311966270028,102.88818826450448,4213600
2018-07-11,104.62156677246094,105.8804297559129,101.9876276117656,101.9876276117656,11753800
2018-07-12,104.82492065429688,105.74485926604109,104.40852575479225,104.63125170066557,5931400
2018-07-13,106.5195541381836,106.7519583694822,104.25359626002822,104.5828349720348,8188800
2018-07-16,106.71321105957031,106.95530092802487,105.3284567164904,106.34523711919812,8245900
2018-07-17,106.81005859375,109.05665239688325,106.60669659200364,106.77132332617911,9075900
2018-07-18,107.18771362304688,107.54600190372527,106.18061887336286,106.81973229089516,6414100
2018-07-19,108.5821533203125,111.05147311979009,107.77842051136618,108.01082473395324,17796800
2018-07-20,107.95271301269531,108.64992559964382,107.32327790264824,108.60151206071477,11787900
2018-07-23,107.5750503540039,107.6912561504909,106.84878074895232,107.53632247650472,5447800
2018-07-24,107.1973876953125,108.34973779997814,107.0424540257419,108.30131687248944,5648800
2018-07-25,107.6622085571289,107.89461276644259,106.16124839015211,107.13929354517563,6756800
2018-07-26,109.91848754882812,110.93526057840529,108.14638791271233,108.60151805414064,9466400
2018-07-27,109.05664825439453,110.44140261846744,108.37879217964753,110.39298168884386,5717000
2018-07-30,109.06632995605469,109.75386432792683,108.50468704995983,108.64993506740008,5199300
2018-07-31,109.9668960571289,110.4413975038764,108.80486767994324,108.9888583383962,8421200
2018-08-01,109.39556884765625,110.22835857025652,109.02758752632347,110.08310317436181,6466600
2018-08-02,109.18253326416016,109.73449788181608,108.1463888981044,108.94044338996025,4027300
2018-08-03,110.48013305664062,110.4898187203891,108.84361050699376,109.61829368294583,4747500
2018-08-06,112.27159881591797,113.1431164246392,110.5479201490744,111.03209988191794,12715600
2018-08-07,112.8719711303711,114.16957658917322,112.56209641286546,112.88165679316702,15466900
2018-08-08,110.37361145019531,112.7267251684624,110.29614092241789,112.23285978887651,11722900
2018-08-09,110.54792785644531,111.16767736665409,109.24063657622665,110.44140771675347,7042000
2018-08-10,109.11473846435547,110.19930366174341,108.84359901200747,109.98626340975686,5740200
2018-08-13,108.57247161865234,109.26968426441591,108.1851263345636,109.09538664397262,6080900
2018-08-14,109.18253326416016,109.60861380691092,108.40784271152178,108.82423759066549,4326400
2018-08-15,109.27936553955078,109.54082673570902,107.94303212050849,108.63056646285611,5183200
2018-08-16,108.92108154296875,109.74418565345984,108.84361100861749,109.7151360500773,5082500
2018-08-17,108.92108154296875,109.28905549914211,108.34974558712412,108.95013114635128,4764500
2018-08-20,108.44657135009766,109.42461645072984,108.3691082099654,109.35683158561649,5167600
2018-08-21,108.83392333984375,109.4246232243957,108.45626372683468,108.69835360122494,4770400
2018-08-22,108.39816284179688,109.18253165851065,108.39816284179688,108.88234258307631,3213000
2018-08-23,108.45626068115234,108.59183041596407,108.00113054800022,108.39816147708916,4257400
2018-08-24,108.38847351074219,109.13410703636369,107.91397944898304,108.09796272060606,5049000
2018-08-27,108.77581024169922,109.31808912691658,108.52403473585014,108.93074389976316,4767700
2018-08-28,109.0179214477539,109.22127606955874,108.64994008525238,109.0082357834783,3131600
2018-08-29,108.89202880859375,109.1534900252516,108.4756339051732,109.01792027883533,4001500
2018-08-30,108.37879943847656,108.86297921515452,108.05923901274981,108.52405484907938,3481600
2018-08-31,108.47563171386719,108.7274072612672,108.03018721492683,108.35943329814175,4642800
2018-09-04,107.34265899658203,108.45627400187936,107.14899003392047,108.2626050392178,6391200
2018-09-05,106.39366149902344,107.31360007379087,106.22903476825726,107.08119586117536,6388300
2018-09-06,106.77130889892578,106.91656428569004,105.89978396633606,106.51953338773411,5267200
2018-09-07,107.45885467529297,107.8268286248547,106.52923044377124,106.59701531311147,4754800
2018-09-10,107.17803192138672,108.36911738117485,106.8778428344794,107.91398722489805,4636500
2018-09-11,106.13220977783203,107.1102550341354,106.04506096081357,107.00373488800349,5488600
2018-09-12,105.99662017822266,106.76162499901548,105.72548072538387,105.79326558859357,5236700
2018-09-13,107.16835021972656,107.21677115269392,105.90948723054325,106.08379224602982,5119400
2018-09-14,105.8029556274414,107.72998886524594,105.43497430794362,107.41042847347038,6012400
2018-09-17,105.89979553222656,106.40333922160877,105.17352590708127,106.11283580434865,5592900
