Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,mean_score,mean_class,majority_vote_score,median_score,next_return
-0.012287632242074445,-0.006652611240949873,-0.0008758965088659295,0.013939621627161933,-0.004924532135030514,0.0042095322910990695,-0.01280684704302008,0.0009853265622896488,-0.00036978933957748417,-0.00986387780881539,-0.0769230769230769,0,0.0,0.0,0.015695520444103706
0.015695520444103706,-0.012287632242074445,-0.006652611240949873,-0.0008758965088659295,0.013939621627161933,-0.004924532135030514,0.0042095322910990695,-0.01280684704302008,0.0009853265622896488,-0.00036978933957748417,-0.1363636363636363,0,0.0,0.0,-0.0038023024262423743
-0.0038023024262423743,0.015695520444103706,-0.012287632242074445,-0.006652611240949873,-0.0008758965088659295,0.013939621627161933,-0.004924532135030514,0.0042095322910990695,-0.01280684704302008,0.0009853265622896488,-0.2,0,0.0,0.0,-0.003787899686075646
-0.003787899686075646,-0.0038023024262423743,0.015695520444103706,-0.012287632242074445,-0.006652611240949873,-0.0008758965088659295,0.013939621627161933,-0.004924532135030514,0.0042095322910990695,-0.01280684704302008,-0.1,0,0.0,0.0,0.0042796242827470065
0.0042796242827470065,-0.003787899686075646,-0.0038023024262423743,0.015695520444103706,-0.012287632242074445,-0.006652611240949873,-0.0008758965088659295,0.013939621627161933,-0.004924532135030514,0.0042095322910990695,-0.238095238095238,0,0.0,0.0,-0.010167683532955775
-0.010167683532955775,0.0042796242827470065,-0.003787899686075646,-0.0038023024262423743,0.015695520444103706,-0.012287632242074445,-0.006652611240949873,-0.0008758965088659295,0.013939621627161933,-0.004924532135030514,-0.25,0,0.0,0.0,-0.013017950291619099
-0.013017950291619099,-0.010167683532955775,0.0042796242827470065,-0.003787899686075646,-0.0038023024262423743,0.015695520444103706,-0.012287632242074445,-0.006652611240949873,-0.0008758965088659295,0.013939621627161933,0.0,0,0.0,0.0,-0.008411910849144524
-0.008411910849144524,-0.013017950291619099,-0.010167683532955775,0.0042796242827470065,-0.003787899686075646,-0.0038023024262423743,0.015695520444103706,-0.012287632242074445,-0.006652611240949873,-0.0008758965088659295,-0.2903225806451613,0,0.0,0.0,-0.0026208726465823595
-0.0026208726465823595,-0.008411910849144524,-0.013017950291619099,-0.010167683532955775,0.0042796242827470065,-0.003787899686075646,-0.0038023024262423743,0.015695520444103706,-0.012287632242074445,-0.006652611240949873,-0.1666666666666666,0,0.0,0.0,0.009955078084268756
0.009955078084268756,-0.0026208726465823595,-0.008411910849144524,-0.013017950291619099,-0.010167683532955775,0.0042796242827470065,-0.003787899686075646,-0.0038023024262423743,0.015695520444103706,-0.012287632242074445,-0.1428571428571428,0,0.0,0.0,-0.003970388165369863
-0.003970388165369863,0.009955078084268756,-0.0026208726465823595,-0.008411910849144524,-0.013017950291619099,-0.010167683532955775,0.0042796242827470065,-0.003787899686075646,-0.0038023024262423743,0.015695520444103706,-0.217391304347826,0,0.0,0.0,-0.003146453765618273
-0.003146453765618273,-0.003970388165369863,0.009955078084268756,-0.0026208726465823595,-0.008411910849144524,-0.013017950291619099,-0.010167683532955775,0.0042796242827470065,-0.003787899686075646,-0.0038023024262423743,-0.1818181818181818,0,0.0,0.0,0.0010586716357954614
0.0010586716357954614,-0.003146453765618273,-0.003970388165369863,0.009955078084268756,-0.0026208726465823595,-0.008411910849144524,-0.013017950291619099,-0.010167683532955775,0.0042796242827470065,-0.003787899686075646,-0.2058823529411764,0,0.0,0.0,-0.006823986849411321
-0.006823986849411321,0.0010586716357954614,-0.003146453765618273,-0.003970388165369863,0.009955078084268756,-0.0026208726465823595,-0.008411910849144524,-0.013017950291619099,-0.010167683532955775,0.0042796242827470065,-0.3,0,-1.0,0.0,0.01880994082239612
0.01880994082239612,-0.006823986849411321,0.0010586716357954614,-0.003146453765618273,-0.003970388165369863,0.009955078084268756,-0.0026208726465823595,-0.008411910849144524,-0.013017950291619099,-0.010167683532955775,0.0,0,0.0,0.0,-0.0003817224879452723
-0.0003817224879452723,0.01880994082239612,-0.006823986849411321,0.0010586716357954614,-0.003146453765618273,-0.003970388165369863,0.009955078084268756,-0.0026208726465823595,-0.008411910849144524,-0.013017950291619099,0.0,0,0.0,0.0,0.0036978703228612714
0.0036978703228612714,-0.0003817224879452723,0.01880994082239612,-0.006823986849411321,0.0010586716357954614,-0.003146453765618273,-0.003970388165369863,0.009955078084268756,-0.0026208726465823595,-0.008411910849144524,-0.1578947368421052,0,0.0,0.0,0.01053830114549377
0.01053830114549377,0.0036978703228612714,-0.0003817224879452723,0.01880994082239612,-0.006823986849411321,0.0010586716357954614,-0.003146453765618273,-0.003970388165369863,0.009955078084268756,-0.0026208726465823595,-0.21875,0,0.0,0.0,-0.005342612192538504
-0.005342612192538504,0.01053830114549377,0.0036978703228612714,-0.0003817224879452723,0.01880994082239612,-0.006823986849411321,0.0010586716357954614,-0.003146453765618273,-0.003970388165369863,0.009955078084268756,0.0,0,0.0,0.0,-0.01270892796695051
-0.01270892796695051,-0.005342612192538504,0.01053830114549377,0.0036978703228612714,-0.0003817224879452723,0.01880994082239612,-0.006823986849411321,0.0010586716357954614,-0.003146453765618273,-0.003970388165369863,-0.05,0,0.0,0.0,-0.0015288714210575734
-0.0015288714210575734,-0.01270892796695051,-0.005342612192538504,0.01053830114549377,0.0036978703228612714,-0.0003817224879452723,0.01880994082239612,-0.006823986849411321,0.0010586716357954614,-0.003146453765618273,0.0476190476190476,0,0.0,0.0,-0.02335495133968746
-0.02335495133968746,-0.0015288714210575734,-0.01270892796695051,-0.005342612192538504,0.01053830114549377,0.0036978703228612714,-0.0003817224879452723,0.01880994082239612,-0.006823986849411321,0.0010586716357954614,-0.2727272727272727,0,0.0,0.0,-0.005224376723334993
-0.005224376723334993,-0.02335495133968746,-0.0015288714210575734,-0.01270892796695051,-0.005342612192538504,0.01053830114549377,0.0036978703228612714,-0.0003817224879452723,0.01880994082239612,-0.006823986849411321,0.0,0,0.0,0.0,-0.0015852598240539504
-0.0015852598240539504,-0.005224376723334993,-0.02335495133968746,-0.0015288714210575734,-0.01270892796695051,-0.005342612192538504,0.01053830114549377,0.0036978703228612714,-0.0003817224879452723,0.01880994082239612,-0.2857142857142857,0,-1.0,0.0,-0.007879143932888239
-0.007879143932888239,-0.0015852598240539504,-0.005224376723334993,-0.02335495133968746,-0.0015288714210575734,-0.01270892796695051,-0.005342612192538504,0.01053830114549377,0.0036978703228612714,-0.0003817224879452723,0.0,0,0.0,0.0,0.011552362582879784
0.011552362582879784,-0.007879143932888239,-0.0015852598240539504,-0.005224376723334993,-0.02335495133968746,-0.0015288714210575734,-0.01270892796695051,-0.005342612192538504,0.01053830114549377,0.0036978703228612714,0.0,0,0.0,0.0,0.014870049669406806
0.014870049669406806,0.011552362582879784,-0.007879143932888239,-0.0015852598240539504,-0.005224376723334993,-0.02335495133968746,-0.0015288714210575734,-0.01270892796695051,-0.005342612192538504,0.01053830114549377,-0.3181818181818182,-1,-1.0,0.0,-0.004557352401540164
-0.004557352401540164,0.014870049669406806,0.011552362582879784,-0.007879143932888239,-0.0015852598240539504,-0.005224376723334993,-0.02335495133968746,-0.0015288714210575734,-0.01270892796695051,-0.005342612192538504,-0.21875,0,0.0,0.0,0.0018647525872340443
0.0018647525872340443,-0.004557352401540164,0.014870049669406806,0.011552362582879784,-0.007879143932888239,-0.0015852598240539504,-0.005224376723334993,-0.02335495133968746,-0.0015288714210575734,-0.01270892796695051,-0.0555555555555555,0,0.0,0.0,0.0024160073405029
0.0024160073405029,0.0018647525872340443,-0.004557352401540164,0.014870049669406806,0.011552362582879784,-0.007879143932888239,-0.0015852598240539504,-0.005224376723334993,-0.02335495133968746,-0.0015288714210575734,-0.1363636363636363,0,0.0,0.0,0.00920116950211488
0.00920116950211488,0.0024160073405029,0.0018647525872340443,-0.004557352401540164,0.014870049669406806,0.011552362582879784,-0.007879143932888239,-0.0015852598240539504,-0.005224376723334993,-0.02335495133968746,-0.04,0,0.0,0.0,-0.004436296347763537
-0.004436296347763537,0.00920116950211488,0.0024160073405029,0.0018647525872340443,-0.004557352401540164,0.014870049669406806,0.011552362582879784,-0.007879143932888239,-0.0015852598240539504,-0.005224376723334993,-0.3043478260869565,-1,0.0,0.0,-0.012920093404098292
-0.012920093404098292,-0.004436296347763537,0.00920116950211488,0.0024160073405029,0.0018647525872340443,-0.004557352401540164,0.014870049669406806,0.011552362582879784,-0.007879143932888239,-0.0015852598240539504,-0.4242424242424242,-1,0.0,0.0,0.00708304901152504
