Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,mean_score,mean_class,majority_vote_score,median_score,movement_label
-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.0079369568502818,-0.0004651453877221217,0.002436771451627045,-0.006482446647653624,-0.0434782608695652,0,0.0,0.0,1
0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.0079369568502818,-0.0004651453877221217,0.002436771451627045,-0.1363636363636363,0,0.0,0.0,1
-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.0079369568502818,-0.0004651453877221217,-0.2,0,0.0,0.0,1
-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.0079369568502818,-0.2,0,0.0,0.0,1
0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.00011764189960407149,-0.3809523809523809,-1,-1.0,0.0,1
-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,-0.002419323202185556,-0.2105263157894736,0,0.0,0.0,1
-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,0.007842419074486823,0.0,0,0.0,0.0,1
-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.00460947426766545,-0.3225806451612903,-1,0.0,0.0,1
-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.001510108321380103,-0.1666666666666666,0,0.0,0.0,2
0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.011088181062821929,-0.1428571428571428,0,0.0,0.0,1
-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,0.004202521205802086,-0.217391304347826,0,0.0,0.0,1
-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.0034318944042910668,-0.1818181818181818,0,0.0,0.0,2
0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.00342015678735076,-0.2352941176470588,0,0.0,0.0,0
-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0045061044450403105,-0.3,0,0.0,0.0,2
0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,-0.0018866443805775938,0.0,0,0.0,0.0,1
0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,-0.004929211016695389,0.0434782608695652,0,0.0,0.0,1
-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.0016875721113420263,0.0,0,0.0,0.0,2
0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,-0.002224535254210113,-0.25,0,0.0,0.0,0
-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.007104760902372623,0.05,0,0.0,0.0,1
-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,-0.0027859411507009345,0.0,0,0.0,0.0,1
0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.0044748115809032304,0.0476190476190476,0,0.0,0.0,0
-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.005658615159997833,-0.3181818181818182,-1,0.0,0.0,1
-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.006287166695527706,0.0,0,0.0,0.0,1
0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,0.014134837284171376,-0.1904761904761904,0,0.0,0.0,0
-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,0.004691682585904688,-0.0384615384615384,0,0.0,0.0,2
0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.0015764203755412485,-0.04,0,0.0,0.0,2
0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,0.005971768254020227,-0.3636363636363636,-1,-1.0,-0.5,1
-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,-0.005891608307018157,-0.21875,0,0.0,0.0,1
0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.004251874799752356,0.0,0,0.0,0.0,2
0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0001974670118925959,-0.1818181818181818,0,0.0,0.0,2
0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.01495364025215422,0.0,0,0.0,0.0,1
-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.003233034526313933,-0.3478260869565217,-1,0.0,0.0,0
-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0006082641284488565,-0.4242424242424242,-1,0.0,0.0,2
0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.006628490902953652,0.0,0,0.0,0.0,1
-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,0.010082717169683291,-0.1,0,0.0,0.0,1
-0.0025575975197824094,-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.007583732559694127,-0.1111111111111111,0,0.0,0.0,2
0.009810721608965473,-0.0025575975197824094,-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.0020010850067033958,0.0666666666666666,0,0.0,0.0,1
0.0008585507529490103,0.009810721608965473,-0.0025575975197824094,-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,0.0022730950098219685,-0.3125,-1,0.0,0.0,0
-0.014661204306854424,0.0008585507529490103,0.009810721608965473,-0.0025575975197824094,-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,0.007354142887536924,-0.0909090909090909,0,0.0,0.0,0
-0.01271553072979584,-0.014661204306854424,0.0008585507529490103,0.009810721608965473,-0.0025575975197824094,-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.009390083282511735,-0.125,0,0.0,0.0,1
-0.0018093353954119473,-0.01271553072979584,-0.014661204306854424,0.0008585507529490103,0.009810721608965473,-0.0025575975197824094,-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.00443052907932632,0.0454545454545454,0,0.0,0.0,1
-0.0024420544017571557,-0.0018093353954119473,-0.01271553072979584,-0.014661204306854424,0.0008585507529490103,0.009810721608965473,-0.0025575975197824094,-0.0003896613971866292,0.00978040776041586,-0.005224383994305533,-0.1428571428571428,0,0.0,0.0,1
-0.0002742643506661924,-0.0024420544017571557,-0.0018093353954119473,-0.01271553072979584,-0.014661204306854424,0.0008585507529490103,0.009810721608965473,-0.0025575975197824094,-0.0003896613971866292,0.00978040776041586,0.0,0,0.0,0.0,1
-4.42690573973163e-05,-0.0002742643506661924,-0.0024420544017571557,-0.0018093353954119473,-0.01271553072979584,-0.014661204306854424,0.0008585507529490103,0.009810721608965473,-0.0025575975197824094,-0.0003896613971866292,-0.1666666666666666,0,0.0,0.0,0
-0.011056589501397424,-4.42690573973163e-05,-0.0002742643506661924,-0.0024420544017571557,-0.0018093353954119473,-0.01271553072979584,-0.014661204306854424,0.0008585507529490103,0.009810721608965473,-0.0025575975197824094,-0.0909090909090909,0,0.0,0.0,0
-0.01589960322184826,-0.011056589501397424,-4.42690573973163e-05,-0.0002742643506661924,-0.0024420544017571557,-0.0018093353954119473,-0.01271553072979584,-0.014661204306854424,0.0008585507529490103,0.009810721608965473,-0.0384615384615384,0,0.0,0.0,1
