Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,mean_score,mean_class,majority_vote_score,median_score,movement_label,Date
-0.009224614357129136,0.0007602391779994195,0.010062348221988444,0.0067672962227045145,0.005974526557336289,0.004083102520710381,-0.004436289545597028,-0.0011140748410077088,0.015799282190688976,0.0038425785754292153,-0.1538461538461538,0,0.0,0.0,1,2004-09-02
-0.0024410734666564637,-0.009224614357129136,0.0007602391779994195,0.010062348221988444,0.0067672962227045145,0.005974526557336289,0.004083102520710381,-0.004436289545597028,-0.0011140748410077088,0.015799282190688976,-0.15,0,0.0,0.0,1,2004-09-03
-0.0003753900072693669,-0.0024410734666564637,-0.009224614357129136,0.0007602391779994195,0.010062348221988444,0.0067672962227045145,0.005974526557336289,0.004083102520710381,-0.004436289545597028,-0.0011140748410077088,-0.1333333333333333,0,0.0,0.0,1,2004-09-06
-0.0003752491424911908,-0.0003753900072693669,-0.0024410734666564637,-0.009224614357129136,0.0007602391779994195,0.010062348221988444,0.0067672962227045145,0.005974526557336289,0.004083102520710381,-0.004436289545597028,-0.1,0,0.0,0.0,1,2004-09-07
0.003955988888604111,-0.0003752491424911908,-0.0003753900072693669,-0.0024410734666564637,-0.009224614357129136,0.0007602391779994195,0.010062348221988444,0.0067672962227045145,0.005974526557336289,0.004083102520710381,-0.1428571428571428,0,0.0,0.0,2,2004-09-08
0.00970151499846418,0.003955988888604111,-0.0003752491424911908,-0.0003753900072693669,-0.0024410734666564637,-0.009224614357129136,0.0007602391779994195,0.010062348221988444,0.0067672962227045145,0.005974526557336289,-0.1,0,0.0,0.0,0,2004-09-09
-0.016463968554292076,0.00970151499846418,0.003955988888604111,-0.0003752491424911908,-0.0003753900072693669,-0.0024410734666564637,-0.009224614357129136,0.0007602391779994195,0.010062348221988444,0.0067672962227045145,-0.1904761904761904,0,0.0,0.0,1,2004-09-10
0.0018740534360368352,-0.016463968554292076,0.00970151499846418,0.003955988888604111,-0.0003752491424911908,-0.0003753900072693669,-0.0024410734666564637,-0.009224614357129136,0.0007602391779994195,0.010062348221988444,-0.3225806451612903,-1,0.0,0.0,1,2004-09-13
0.0024427746042342676,0.0018740534360368352,-0.016463968554292076,0.00970151499846418,0.003955988888604111,-0.0003752491424911908,-0.0003753900072693669,-0.0024410734666564637,-0.009224614357129136,0.0007602391779994195,-0.1111111111111111,0,0.0,0.0,2,2004-09-14
0.005858580661399168,0.0024427746042342676,0.0018740534360368352,-0.016463968554292076,0.00970151499846418,0.003955988888604111,-0.0003752491424911908,-0.0003753900072693669,-0.0024410734666564637,-0.009224614357129136,-0.2,0,0.0,0.0,1,2004-09-15
0.0026534485754175757,0.005858580661399168,0.0024427746042342676,0.0018740534360368352,-0.016463968554292076,0.00970151499846418,0.003955988888604111,-0.0003752491424911908,-0.0003753900072693669,-0.0024410734666564637,-0.1739130434782608,0,0.0,0.0,2,2004-09-16
0.0055261246321547585,0.0026534485754175757,0.005858580661399168,0.0024427746042342676,0.0018740534360368352,-0.016463968554292076,0.00970151499846418,0.003955988888604111,-0.0003752491424911908,-0.0003753900072693669,-0.1818181818181818,0,0.0,0.0,2,2004-09-17
0.005363933383951781,0.0055261246321547585,0.0026534485754175757,0.005858580661399168,0.0024427746042342676,0.0018740534360368352,-0.016463968554292076,0.00970151499846418,0.003955988888604111,-0.0003752491424911908,-0.1764705882352941,0,0.0,0.0,1,2004-09-20
-0.0011484319942453147,0.005363933383951781,0.0055261246321547585,0.0026534485754175757,0.005858580661399168,0.0024427746042342676,0.0018740534360368352,-0.016463968554292076,0.00970151499846418,0.003955988888604111,-0.25,0,0.0,0.0,2,2004-09-21
0.011419058532774013,-0.0011484319942453147,0.005363933383951781,0.0055261246321547585,0.0026534485754175757,0.005858580661399168,0.0024427746042342676,0.0018740534360368352,-0.016463968554292076,0.00970151499846418,-0.0476190476190476,0,0.0,0.0,0,2004-09-22
-0.016558782998961893,0.011419058532774013,-0.0011484319942453147,0.005363933383951781,0.0055261246321547585,0.0026534485754175757,0.005858580661399168,0.0024427746042342676,0.0018740534360368352,-0.016463968554292076,0.0869565217391304,0,0.0,0.0,0,2004-09-23
-0.005112360542042703,-0.016558782998961893,0.011419058532774013,-0.0011484319942453147,0.005363933383951781,0.0055261246321547585,0.0026534485754175757,0.005858580661399168,0.0024427746042342676,0.0018740534360368352,-0.05,0,0.0,0.0,2,2004-09-24
0.0055208402889280915,-0.005112360542042703,-0.016558782998961893,0.011419058532774013,-0.0011484319942453147,0.005363933383951781,0.0055261246321547585,0.0026534485754175757,0.005858580661399168,0.0024427746042342676,-0.21875,0,0.0,0.0,1,2004-09-27
-0.004925948560895648,0.0055208402889280915,-0.005112360542042703,-0.016558782998961893,0.011419058532774013,-0.0011484319942453147,0.005363933383951781,0.0055261246321547585,0.0026534485754175757,0.005858580661399168,-0.0476190476190476,0,0.0,0.0,1,2004-09-28
-0.004150408297152201,-0.004925948560895648,0.0055208402889280915,-0.005112360542042703,-0.016558782998961893,0.011419058532774013,-0.0011484319942453147,0.005363933383951781,0.0055261246321547585,0.0026534485754175757,-0.05,0,0.0,0.0,1,2004-09-29
-0.0037594913140498428,-0.004150408297152201,-0.004925948560895648,0.0055208402889280915,-0.005112360542042703,-0.016558782998961893,0.011419058532774013,-0.0011484319942453147,0.005363933383951781,0.0055261246321547585,0.0,0,0.0,0.0,1,2004-09-30
0.0013172860236320052,-0.0037594913140498428,-0.004150408297152201,-0.004925948560895648,0.0055208402889280915,-0.005112360542042703,-0.016558782998961893,0.011419058532774013,-0.0011484319942453147,0.005363933383951781,-0.238095238095238,0,0.0,0.0,1,2004-10-01
-0.003376543286172684,0.0013172860236320052,-0.0037594913140498428,-0.004150408297152201,-0.004925948560895648,0.0055208402889280915,-0.005112360542042703,-0.016558782998961893,0.011419058532774013,-0.0011484319942453147,-0.0606060606060606,0,0.0,0.0,1,2004-10-04
-0.0018721921075093057,-0.003376543286172684,0.0013172860236320052,-0.0037594913140498428,-0.004150408297152201,-0.004925948560895648,0.0055208402889280915,-0.005112360542042703,-0.016558782998961893,0.011419058532774013,-0.1818181818181818,0,0.0,0.0,0,2004-10-05
-0.01055914243246067,-0.0018721921075093057,-0.003376543286172684,0.0013172860236320052,-0.0037594913140498428,-0.004150408297152201,-0.004925948560895648,0.0055208402889280915,-0.005112360542042703,-0.016558782998961893,-0.1153846153846153,0,0.0,0.0,2,2004-10-06
0.008029532879354548,-0.01055914243246067,-0.0018721921075093057,-0.003376543286172684,0.0013172860236320052,-0.0037594913140498428,-0.004150408297152201,-0.004925948560895648,0.0055208402889280915,-0.005112360542042703,-0.12,0,0.0,0.0,2,2004-10-07
0.01324469687176608,0.008029532879354548,-0.01055914243246067,-0.0018721921075093057,-0.003376543286172684,0.0013172860236320052,-0.0037594913140498428,-0.004150408297152201,-0.004925948560895648,0.0055208402889280915,-0.2272727272727272,0,0.0,0.0,1,2004-10-08
-0.0009446702504259651,0.01324469687176608,0.008029532879354548,-0.01055914243246067,-0.0018721921075093057,-0.003376543286172684,0.0013172860236320052,-0.0037594913140498428,-0.004150408297152201,-0.004925948560895648,-0.1875,0,0.0,0.0,1,2004-10-11
-0.00037860971432905887,-0.0009446702504259651,0.01324469687176608,0.008029532879354548,-0.01055914243246067,-0.0018721921075093057,-0.003376543286172684,0.0013172860236320052,-0.0037594913140498428,-0.004150408297152201,-0.1111111111111111,0,0.0,0.0,2,2004-10-12
0.007041390846068008,-0.00037860971432905887,-0.0009446702504259651,0.01324469687176608,0.008029532879354548,-0.01055914243246067,-0.0018721921075093057,-0.003376543286172684,0.0013172860236320052,-0.0037594913140498428,-0.0909090909090909,0,0.0,0.0,2,2004-10-13
0.00863723935831422,0.007041390846068008,-0.00037860971432905887,-0.0009446702504259651,0.01324469687176608,0.008029532879354548,-0.01055914243246067,-0.0018721921075093057,-0.003376543286172684,0.0013172860236320052,0.0,0,0.0,0.0,0,2004-10-14
-0.008186021747088356,0.00863723935831422,0.007041390846068008,-0.00037860971432905887,-0.0009446702504259651,0.01324469687176608,0.008029532879354548,-0.01055914243246067,-0.0018721921075093057,-0.003376543286172684,-0.2608695652173913,0,0.0,0.0,0,2004-10-15
-0.007369864993116708,-0.008186021747088356,0.00863723935831422,0.007041390846068008,-0.00037860971432905887,-0.0009446702504259651,0.01324469687176608,0.008029532879354548,-0.01055914243246067,-0.0018721921075093057,-0.2424242424242424,0,0.0,0.0,1,2004-10-18
0.004556612791101842,-0.007369864993116708,-0.008186021747088356,0.00863723935831422,0.007041390846068008,-0.00037860971432905887,-0.0009446702504259651,0.01324469687176608,0.008029532879354548,-0.01055914243246067,-0.0454545454545454,0,0.0,0.0,1,2004-10-19
0.0038107387599561685,0.004556612791101842,-0.007369864993116708,-0.008186021747088356,0.00863723935831422,0.007041390846068008,-0.00037860971432905887,-0.0009446702504259651,0.01324469687176608,0.008029532879354548,-0.1,0,0.0,0.0,2,2004-10-20
