Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,mean_score,mean_class,majority_vote_score,median_score,movement_label
-0.0026616375559262713,-0.0013345304935361247,-0.002227154115366754,0.011607094940954937,0.0008827962733438834,-0.007936889136403492,-0.008444231207898415,-0.006275228576332858,0.01217861170147195,-0.0017824745858366301,-0.6538461538461539,-1,-1,-1.0,2
0.007599384403633512,-0.0026616375559262713,-0.0013345304935361247,-0.002227154115366754,0.011607094940954937,0.0008827962733438834,-0.007936889136403492,-0.008444231207898415,-0.006275228576332858,0.01217861170147195,-0.2727272727272727,0,-1,-1.0,0
-0.0071016838762621645,0.007599384403633512,-0.0026616375559262713,-0.0013345304935361247,-0.002227154115366754,0.011607094940954937,0.0008827962733438834,-0.007936889136403492,-0.008444231207898415,-0.006275228576332858,-0.1034482758620689,0,-1,-1.0,0
-0.007051605602453265,-0.0071016838762621645,0.007599384403633512,-0.0026616375559262713,-0.0013345304935361247,-0.002227154115366754,0.011607094940954937,0.0008827962733438834,-0.007936889136403492,-0.008444231207898415,-0.9,-1,-1,-1.0,0
-0.008737477344699159,-0.007051605602453265,-0.0071016838762621645,0.007599384403633512,-0.0026616375559262713,-0.0013345304935361247,-0.002227154115366754,0.011607094940954937,0.0008827962733438834,-0.007936889136403492,-0.238095238095238,0,-1,-1.0,1
0.0013122417396574252,-0.008737477344699159,-0.007051605602453265,-0.0071016838762621645,0.007599384403633512,-0.0026616375559262713,-0.0013345304935361247,-0.002227154115366754,0.011607094940954937,0.0008827962733438834,-0.2,0,-1,-0.5,0
-0.012953165769378801,0.0013122417396574252,-0.008737477344699159,-0.007051605602453265,-0.0071016838762621645,0.007599384403633512,-0.0026616375559262713,-0.0013345304935361247,-0.002227154115366754,0.011607094940954937,-0.3809523809523809,-1,-1,-1.0,0
-0.006861359081050158,-0.012953165769378801,0.0013122417396574252,-0.008737477344699159,-0.007051605602453265,-0.0071016838762621645,0.007599384403633512,-0.0026616375559262713,-0.0013345304935361247,-0.002227154115366754,-0.2068965517241379,0,-1,-1.0,1
0.0030110186605549127,-0.006861359081050158,-0.012953165769378801,0.0013122417396574252,-0.008737477344699159,-0.007051605602453265,-0.0071016838762621645,0.007599384403633512,-0.0026616375559262713,-0.0013345304935361247,-0.3333333333333333,-1,-1,-1.0,2
0.010430019720069274,0.0030110186605549127,-0.006861359081050158,-0.012953165769378801,0.0013122417396574252,-0.008737477344699159,-0.007051605602453265,-0.0071016838762621645,0.007599384403633512,-0.0026616375559262713,0.0476190476190476,0,1,0.0,0
