Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,sentiment,next_return
17.869640350341797,17.845792770385742,17.806047439575195,18.012723922729492,18.02862548828125,17.885534286499023,17.73450469970703,17.62321662902832,17.83784294128418,17.806047439575195,-0.6538461538461539,0.001785657474904657
17.917329788208008,17.869640350341797,17.845792770385742,17.806047439575195,18.012723922729492,18.02862548828125,17.885534286499023,17.73450469970703,17.62321662902832,17.83784294128418,-0.2727272727272727,-0.012032077699211316
17.782196044921875,17.917329788208008,17.869640350341797,17.845792770385742,17.806047439575195,18.012723922729492,18.02862548828125,17.885534286499023,17.73450469970703,17.62321662902832,-0.1034482758620689,0.006314855739524945
17.909382820129395,17.782196044921875,17.917329788208008,17.869640350341797,17.845792770385742,17.806047439575195,18.012723922729492,18.02862548828125,17.885534286499023,17.73450469970703,-0.9,0.00851614349254914
18.03656959533691,17.909382820129395,17.782196044921875,17.917329788208008,17.869640350341797,17.845792770385742,17.806047439575195,18.012723922729492,18.02862548828125,17.885534286499023,-0.238095238095238,0.008000387323639507
18.19555282592773,18.03656959533691,17.909382820129395,17.782196044921875,17.917329788208008,17.869640350341797,17.845792770385742,17.806047439575195,18.012723922729492,18.02862548828125,-0.2,-0.0008820176314658018
18.171707153320312,18.19555282592773,18.03656959533691,17.909382820129395,17.782196044921875,17.917329788208008,17.869640350341797,17.845792770385742,17.806047439575195,18.012723922729492,-0.3809523809523809,-0.011473916107352346
18.41017723083496,18.171707153320312,18.19555282592773,18.03656959533691,17.909382820129395,17.782196044921875,17.917329788208008,17.869640350341797,17.845792770385742,17.806047439575195,-0.2068965517241379,0.0022321254026432657
18.537368774414062,18.41017723083496,18.171707153320312,18.19555282592773,18.03656959533691,17.909382820129395,17.782196044921875,17.917329788208008,17.869640350341797,17.845792770385742,-0.3333333333333333,0.0013363138451113604
18.481719970703125,18.537368774414062,18.41017723083496,18.171707153320312,18.19555282592773,18.03656959533691,17.909382820129395,17.782196044921875,17.917329788208008,17.869640350341797,0.0476190476190476,0.002668740776604313
18.290945053100582,18.481719970703125,18.537368774414062,18.41017723083496,18.171707153320312,18.19555282592773,18.03656959533691,17.909382820129395,17.782196044921875,17.917329788208008,-0.6521739130434783,-0.007542069319674455
18.60095977783203,18.290945053100582,18.481719970703125,18.537368774414062,18.41017723083496,18.171707153320312,18.19555282592773,18.03656959533691,17.909382820129395,17.782196044921875,-0.0952380952380952,0.007152478517626101
18.61685562133789,18.60095977783203,18.290945053100582,18.481719970703125,18.537368774414062,18.41017723083496,18.171707153320312,18.19555282592773,18.03656959533691,17.909382820129395,-0.0303030303030303,0.007101683876261966
18.386335372924805,18.61685562133789,18.60095977783203,18.290945053100582,18.481719970703125,18.537368774414062,18.41017723083496,18.171707153320312,18.19555282592773,18.03656959533691,0.0,0.008814493784445746
18.608905792236328,18.386335372924805,18.61685562133789,18.60095977783203,18.290945053100582,18.481719970703125,18.537368774414062,18.41017723083496,18.171707153320312,18.19555282592773,-0.3809523809523809,-0.0013105220179647117
18.521467208862305,18.608905792236328,18.386335372924805,18.61685562133789,18.60095977783203,18.290945053100582,18.481719970703125,18.537368774414062,18.41017723083496,18.171707153320312,-0.25,0.013123152134392363
18.48967170715332,18.521467208862305,18.608905792236328,18.386335372924805,18.61685562133789,18.60095977783203,18.290945053100582,18.481719970703125,18.537368774414062,18.41017723083496,-0.1,0.006908762581930506
18.64865493774414,18.48967170715332,18.521467208862305,18.608905792236328,18.386335372924805,18.61685562133789,18.60095977783203,18.290945053100582,18.481719970703125,18.537368774414062,-0.3548387096774194,-0.0030019796438287383
18.41812324523925,18.64865493774414,18.48967170715332,18.521467208862305,18.608905792236328,18.386335372924805,18.61685562133789,18.60095977783203,18.290945053100582,18.481719970703125,-0.3809523809523809,-0.010322357329564318
17.965028762817383,18.41812324523925,18.64865493774414,18.48967170715332,18.521467208862305,18.608905792236328,18.386335372924805,18.61685562133789,18.60095977783203,18.290945053100582,-0.0476190476190476,0.01694908184522138
18.124011993408203,17.965028762817383,18.41812324523925,18.64865493774414,18.48967170715332,18.521467208862305,18.608905792236328,18.386335372924805,18.61685562133789,18.60095977783203,-0.7727272727272727,0.0008545711455601061
17.925283432006836,18.124011993408203,17.965028762817383,18.41812324523925,18.64865493774414,18.48967170715332,18.521467208862305,18.608905792236328,18.386335372924805,18.61685562133789,-0.5,-0.012382340664922647
18.346582412719727,17.925283432006836,18.124011993408203,17.965028762817383,18.41812324523925,18.64865493774414,18.48967170715332,18.521467208862305,18.608905792236328,18.386335372924805,-0.3870967741935484,0.012105208286327373
18.71224594116211,18.346582412719727,17.925283432006836,18.124011993408203,17.965028762817383,18.41812324523925,18.64865493774414,18.48967170715332,18.521467208862305,18.608905792236328,-0.1363636363636363,-0.004698749316604256
18.98251724243164,18.71224594116211,18.346582412719727,17.925283432006836,18.124011993408203,17.965028762817383,18.41812324523925,18.64865493774414,18.48967170715332,18.521467208862305,-0.2692307692307692,-0.001716683745970762
19.34817695617676,18.98251724243164,18.71224594116211,18.346582412719727,17.925283432006836,18.124011993408203,17.965028762817383,18.41812324523925,18.64865493774414,18.48967170715332,-0.4230769230769231,0.008598488556685005
19.67408943176269,19.34817695617676,18.98251724243164,18.71224594116211,18.346582412719727,17.925283432006836,18.124011993408203,17.965028762817383,18.41812324523925,18.64865493774414,-0.3181818181818182,-0.012361840211773284
