date,headline,abstract,lead_paragraph,section,url
2016-07-01,Federal Judge Blocks Indiana Abortion Law,Judge Pratt’s decision is the first in a federal court to indicate that a ban on abortion because of genetic anomalies would likely be unconstitutional.,"A federal judge on Thursday blocked an Indiana law that would have banned abortions based solely on a fetus’s disability or genetic anomaly, suggesting that it was an illegal limit on a woman’s long-established constitutional right.",U.S.,https://www.nytimes.com/2016/07/01/us/federal-judge-blocks-indiana-abortion-law.html
2016-07-01,Pop & Rock Listings for July 1-7,A selected guide to concerts in the New York City area.,A selected guide to concerts in the New York City area.,Arts,https://www.nytimes.com/2016/07/01/arts/music/pop-rock-listings-for-july-1-7.html
2016-07-01,Trust Holds the Key to Whether a Bid for Hershey Succeeds This Time,"All eyes are on the Hershey Trust Company again after Mondelez International made a $23 billion takeover offer for Hershey. On Thursday, Hershey rejected the offer.","For the better part of the last century, there has been one major hurdle whenever Hershey Company was on the verge of a major deal: a charitable trust that controls about 81 percent of the voting power.",Business Day,https://www.nytimes.com/2016/07/01/business/dealbook/trust-holds-the-key-to-whether-a-bid-for-hershey-succeeds-this-time.html
2016-07-01,"Gathering to Remember Bill Cunningham, Outside the Picture Frame","Friends and family members went to the Church of St. Thomas More in Manhattan to pay their respects to the photographer, who died on Saturday.","At Bill Cunningham’s funeral on Thursday morning, Anna Wintour wore blue Carolina Herrera, Annette de la Renta had on a light pleated summer dress that went to the knee, and Mercedes Bass opted for basic black.",New York,https://www.nytimes.com/2016/07/01/nyregion/gathering-to-remember-bill-cunningham-outside-the-picture-frame.html
2016-07-01,How J.R.R. Tolkien Found Mordor on the Western Front,"The Battle of the Somme, a century ago, left its mark on the “Lord of the Rings” author.","IN the summer of 1916, a young Oxford academic embarked for France as a second lieutenant in the British Expeditionary Force. The Great War, as World War I was known, was only half-done, but already its industrial carnage had no parallel in European history.",Opinion,https://www.nytimes.com/2016/07/03/opinion/sunday/how-jrr-tolkien-found-mordor-on-the-western-front.html
2016-07-01,Jazz Listings for July 1-7,A selected guide to jazz performances in New York City.,A selected guide to jazz performances in New York City.,Arts,https://www.nytimes.com/2016/07/01/arts/music/jazz-listings-for-july-1-7.html
2016-07-01,Battle for $40 Billion Empire Focuses on Redstone’s Mental State,"As lawsuits for Sumner Redstone’s $40 billion media empire continue, the judge questions both sides on Redstone’s mental state and communication skills.","A throng of lawyers for Sumner M. Redstone and the two longtime confidants who have brought suits against him resumed arguments at a Massachusetts courthouse on Thursday, continuing a heated legal battle that could decide the fate of Mr. Redstone’s media empire.",Business Day,https://www.nytimes.com/2016/07/01/business/media/battle-for-40-million-empire-focuses-on-redstones-mental-state.html
2016-07-01,Court Halts Construction of Hudson River Park Backed by Barry Diller,Construction was delayed on a proposed $130 million waterfront park near 13th Street until an appeals court examines why a previous lawsuit against the park was dismissed.,"A New York State appeals court ordered on Thursday that work be temporarily halted on Pier 55, a 2.4-acre, $130 million park planned along the Hudson River and financed mostly by the billionaire businessman Barry Diller.",New York,https://www.nytimes.com/2016/07/01/nyregion/court-halts-construction-of-hudson-river-park-backed-by-barry-diller.html
2016-07-01,Quotation of the Day,"Quotation of the day for Friday, July 1, 2016.",“I can’t provide refugees fast enough for all the Canadians who want to sponsor them.”,Today’s Paper,https://www.nytimes.com/2016/07/01/todayspaper/quotation-of-the-day.html
2016-07-01,Puerto Rico Debt Relief Law Stirs Colonial Resentment,"The federal oversight board in the new law has opened old wounds in Puerto Rico, even among some who support the island’s current status.","SAN JUAN, P.R. — They shouted angrily about “colonialism” and called for a Prexit, or Puerto Rican exit, from the United States. They denounced the “junta” — or federal control board — that will soon direct this island’s failing governance and finances.",Business Day,https://www.nytimes.com/2016/07/01/business/dealbook/puerto-rico-debt-relief-law-stirs-colonial-resentment.html
