date,headline,abstract,lead_paragraph,section,url
2022-07-01,How to Dispute Surprise Medical Bills,"After receiving a $21,500 doctor’s bill for a mere 10 stitches, I researched bad medical billing. Here’s how to fight it.","In October, I received a doctor’s bill for $21,500 for treatment my daughter received in the emergency room of a local hospital after suffering a one-inch cut on her forehead. I remember opening the bill while walking down my driveway and nearly having a heart attack: How could 10 measly stitches possibly cost more than 20 grand? And why were we being billed for services we’d received at a hospital that was in our insurance company’s network?",Well,https://www.nytimes.com/2022/06/30/well/live/surprise-medical-bills.html
2022-07-01,One Dead and 22 Have Been Hospitalized in Listeria Outbreak Tied to Florida,"A food source has not been identified as the cause of the outbreak, which has sickened people across 10 states starting in January 2021, the Centers for Disease Control and Prevention said in a statement.","One person has died and 22 people have been hospitalized in a listeria outbreak, with most of the infected people having been in Florida about a month before they became sick, the federal authorities said Thursday.",Science,https://www.nytimes.com/2022/06/30/science/listeria-outbreak-florida.html
2022-07-01,California Wildfire Burns More Than 900 Acres and Prompts Evacuations,"The Rices fire is burning near South Yuba River State Park in Nevada County, Calif., about 70 miles northeast of Sacramento.","A fast-growing fire near South Yuba River State Park in Nevada County, Calif., about 70 miles northeast of Sacramento, has grown to more than 900 acres in two days, prompting evacuation orders for hundreds of residents of nearby communities, the authorities said Thursday.",U.S.,https://www.nytimes.com/2022/06/30/us/california-rices-fire.html
2022-07-01,Columbia Won’t Participate in the Next U.S. News Rankings,"The university, which had climbed to No. 2 in the influential rankings, said it needed more time to address questions about its data, which were raised by a Columbia math professor.","Columbia University will not participate in the next U.S. News & World Report rankings of colleges across the country, after a Columbia math professor questioned the accuracy of the data that secured its No. 2 spot in the influential rankings, the university announced on Thursday night.",U.S.,https://www.nytimes.com/2022/06/30/us/columbia-us-news-rankings.html
2022-07-01,"Nine People Are Injured in Newark Shooting, Officials Say","The victims — eight adults and one youth — were all in stable condition at Newark hospitals, the acting public safety director said.","NEWARK — Nine people were hospitalized after being shot Thursday evening in Newark, the authorities said.",New York,https://www.nytimes.com/2022/06/30/nyregion/newark-shooting.html
2022-07-01,‘Wearing a Piece of History’: Vintage Clothing Stores Find a Growing Market,"The demand for repurposed clothes is rising in Australia, store owners say, as shoppers look for sustainability and history over fast fashion.","Until recently, I had never realized how drab my wardrobe is. I do a bit of acting in my spare time and was booked for a project that required me to source my own outfit. I didn’t think too much about the request — low-budget films often ask actors to wear what they have — but the instruction to find something “bright, colorful and unbranded” was proving difficult.",World,https://www.nytimes.com/2022/06/30/world/australia/vintage-clothing-stores.html
2022-07-01,Former Apple Lawyer Pleads Guilty to Insider Trading,The official was the senior director of corporate law at Apple until he was fired in late 2018.,"A former senior lawyer at Apple who enforced its insider-trading policies pleaded guilty on Thursday to perpetrating an insider-trading scheme, which prosecutors said had involved making stock transactions before the company announced it fell short of iPhone sales expectations.",Business Day,https://www.nytimes.com/2022/06/30/business/apple-levoff-insider-trading.html
2022-07-01,Variety: Acrostic,Emily Cox and Henry Rathvon get festive in the fields.,"ACROSTIC — This puzzle solves to a passage from a particularly wonderful book, “Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants.” The author, Robin Wall Kimmerer, is a botanist and a member of the Citizen Potawatomi Nation, and her descriptions of flora and fauna are marvelous.",Crosswords & Games,https://www.nytimes.com/2022/06/30/crosswords/variety-acrostic.html
2022-07-01,Tag Line,Christina Iverson and Caitlin Reid collaborate to lead us into the weekend.,"FRIDAY PUZZLE — Welcome to Friday, everyone. We made it, and we’ve got a themeless gem of a puzzle to start off the weekend. Today’s puzzle is a collaboration between the constructors Christina Iverson (new assistant editor of the Los Angeles Times Crossword) and Caitlin Reid (mainstay on The New Yorker’s all-star crossword-constructor roster).",Crosswords & Games,https://www.nytimes.com/2022/06/30/crosswords/daily-puzzle-2022-07-01.html
2022-07-01,Missile Strikes on Ukraine Kill at Least 21 Near Odesa,The strikes hit a residential tower and a recreational center in a coastal town southwest of the Black Sea port city of Odesa.,"At least 21 people were killed and dozens were injured when Russian missiles struck a residential tower and a recreational center in a coastal town southwest of the Black Sea port of Odesa early Friday, Ukrainian officials said.",World,https://www.nytimes.com/2022/06/30/world/europe/ukraine-odesa-missile-strike.html
2022-07-01,"Falling Fast, Then Fiancés for Seven Years","Luke Kalat knew he wanted to marry Justin Conner after their first conversation in 2010. More than a decade later, he did.","Late on a September evening in 2010, as Luke Neville Kalat was preparing to head home from a dance party at Bowlmor Lanes near Manhattan’s Union Square, he noticed a man staring at him from across the room. That man was Justin Claude Conner.",Style,https://www.nytimes.com/2022/07/01/style/luke-kalat-justin-conner-wedding.html
2022-07-01,"Through an Old-School Setup, a Matchmaker Meets Her ‘Sinatra’","An old-fashioned fix-up, and an appreciation for chivalry, brought Erin Bellsey and Charles Leonard together.","Erin Courtney Bellsey has always loved playing matchmaker. By her count, she has paired dozens of couples, two of which are now engaged.",Style,https://www.nytimes.com/2022/07/01/style/erin-bellsey-charles-leonard-wedding.html
2022-07-01,"While Following Grateful Dead Tribute Bands, a Romantic Turn","Caroline Cornell and Daniel Logan have been friends since middle school in Vermont, but their relationship didn’t become romantic until many years later when the two were living transiently.","Caroline Cornell and Daniel Patrick Logan weren’t technically off the grid when they found romance on the Lost Coast of Northern California, the state’s most remote oceanfront area, in the summer of 2014. But the routes each had taken to get there could definitely be described as off the beaten path.",Style,https://www.nytimes.com/2022/07/01/style/caroline-cornell-daniel-logan-wedding.html
2022-07-01,Growing Closer One (Very) Late Dinner at a Time,"Alaina Collura and Joseph Durkin got to know each other better over late-night meals, one of which, at the Spotted Pig in August 2016, marked a turning point in their relationship.","Alaina Korinne Collura had just transferred to a new department at the public accounting firm Ernst & Young in New York when she was put on a project with Joseph Vincent Durkin, in March 2015.",Style,https://www.nytimes.com/2022/07/01/style/alaina-collura-joseph-durkin-wedding.html
2022-07-01,A Bet She Couldn’t Resist,"For $100, could I stop flirting with men when my mother was around? And could she stop talking about my brush with mortality?","“Why aren’t you eating?” my mother said to me, her Yonkers accent blaring into the otherwise hushed Chinese restaurant. A 77-year-old Italian-American hairdresser who believed that almost all problems could be solved with a pile of spaghetti and meatballs, she viewed my lack of appetite as a warning flare.",Style,https://www.nytimes.com/2022/07/01/style/modern-love-mother-leukemia-gay-son.html
2022-07-01,"On Their First Date, Plunging Into a Relationship","Stephanie Schulter and Halle Bauer had a first date at the Coney Island Polar Bear plunge in 2018. Three years later, they planned an engagement around the same event.","For their first date, Stephanie Schulter and Halle Anne Bauer jumped into the Atlantic together in 17-degree weather.",Style,https://www.nytimes.com/2022/07/01/style/stephanie-schulter-halle-bauer-wedding.html
2022-07-01,Finding Love From Studio 1A in Rockefeller Plaza,"Libby Leist, an executive at NBC’s “Today,” had been single for years when the anchor Jenna Bush Hager introduced her to Sayan Ray, who later proposed with help from the anchor Willie Geist.","Around Valentine’s Day last year, Jenna Bush Hager, a host of NBC’s “Today with Hoda & Jenna,” embarked on a mission: to help her friend and colleague Elizabeth Harrington Leist, who goes by Libby, find romance.",Style,https://www.nytimes.com/2022/07/01/style/libby-leist-sayan-ray-wedding.html
2022-07-01,Russia Hints at Linking Griner’s Case to Fate of ‘Merchant of Death’,"Viktor Bout, a Russian arms dealer, is serving a 25-year prison sentence in the United States.","WASHINGTON — She is an American professional basketball star, accused of carrying hashish oil in her luggage.",U.S.,https://www.nytimes.com/2022/07/01/us/politics/brittney-griner-trial-russia.html
2022-07-01,‘Long Live the Theater’: Mariupol’s Drama Company to Perform Again,Thirteen members of the Mariupol Drama Theater have reconvened in western Ukraine where they are rehearsing a new play about a Ukrainian dissident who died in a Russian prison camp in the 1980s.,"UZHHOROD, Ukraine — Dressed in black, the actors moved around a sparse rehearsal room preparing a new play — the story of a dissident Ukrainian who died in a Russian prison camp decades ago. As they took a break, they gathered in a circle with their arms around each other, laughing and chattering.",World,https://www.nytimes.com/2022/07/01/world/europe/mariupol-drama-theater-ukraine.html
2022-07-01,Your Friday Briefing,A major climate-related court ruling.,The U.S. Supreme Court limited the Environmental Protection Agency’s powers to restrict carbon emissions from power plants.,Briefing,https://www.nytimes.com/2022/07/01/briefing/supreme-court-climate-ruling-ukraine.html
2022-07-01,Profiles in Courage,A new historical fiction series for young readers highlights “the importance of standing up for what you know is right.”,"I was speaking to a gymnasium full of American middle schoolers once about a book I’d written on the Holocaust when a boy raised his hand and asked, “Was everybody from Nazi evil?” I’d been discussing the Holocaust for 45 minutes and the whole time he’d heard “Nazi Germany” as “Nazi, Germany,” as though I were saying a place name like “Atlanta, Georgia.”",Books,https://www.nytimes.com/2022/07/01/books/review/they-said-no-anna-politkovskaya-mordechai-anielewicz.html
2022-07-01,Quotation of the Day: Israel Parliament Collapse Sets Up 5th Election in 4 Years,"Quotation of the Day for Friday, July 1, 2022.",“I have no energy to vote again. I feel I am being forced to vote. I feel I am being held hostage by small and foul-smelling politics.”,Today’s Paper,https://www.nytimes.com/2022/07/01/todayspaper/quotation-of-the-day-israel-parliament-collapse-sets-up-5th-election-in-4-years.html
2022-07-01,"Corrections: July 1, 2022","Corrections that appeared in print on Friday, July 1, 2022.",An article on Wednesday about Turkey’s decision not to Bar Sweden and Finland from NATO referred incorrectly to Finland. It is a Nordic not a Scandinavian country.,Corrections,https://www.nytimes.com/2022/07/01/pageoneplus/corrections-july-1-2022.html
2022-07-01,Stephen Colbert Reflects on This Year in the Supreme Court,"Colbert referred to the court’s year of bold rulings as “a real roller-coaster ride, in that I am nauseous and scared we’re all going to die.”","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",Arts,https://www.nytimes.com/2022/07/01/arts/television/late-night-supreme-court.html
2022-07-01,North Korea Suggests ‘Alien Things’ From the South Brought Covid,"Airborne propaganda leaflets sent by activists across the border have long angered the regime, which pointed to them as the likely culprit in the country’s recent outbreak.","SEOUL — North Korea suggested on Friday that the coronavirus had entered the country on foreign objects from South Korea, saying that its first reported outbreak had begun in villages near the countries’ border after people there touched “alien things.”",World,https://www.nytimes.com/2022/07/01/world/asia/north-korea-covid-balloons.html
2022-07-01,Climate Protesters in Australia Face Harsh New Penalties,"As of April, people in New South Wales who disrupt business activities can face up to two years in prison. Some climate activists say this law is aimed at them.","MELBOURNE, Australia — When climate protesters took to the streets of Sydney this week, including blocking one of its busiest traffic tunnels for over an hour, they faced the fury of government officials who labeled them “professional pests” and warned that they’d see “the book being thrown at them.”",World,https://www.nytimes.com/2022/07/01/world/australia/climate-protest-laws.html
2022-07-01,Spelling Bee Forum,Feeling stuck on today’s puzzle? We can help.,"FRIDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",Crosswords & Games,https://www.nytimes.com/2022/07/01/crosswords/spelling-bee-forum.html
2022-07-01,End of a Pandemic Tracker Signifies a New Phase in Travel,"With air travel approaching prepandemic levels, the Travel desk is saying goodbye to a project it started over two years ago.","Hours before President Donald J. Trump blocked nonessential travel from Europe on March 11, 2020, in response to the spiraling coronavirus pandemic, The New York Times’s deputy Travel editor, Elisabeth Goodridge, flew to her home in New York from Brussels, where she had been vacationing with her family. “Countries started shutting down,” Ms. Goodridge remembered.",Times Insider,https://www.nytimes.com/2022/07/01/insider/travel-pandemic-tracker.html
2022-07-01,The N.Y.P.D.’s Sex-Crimes Division Faces an Investigation,The Special Victims Division is the subject of allegations that its officers shamed and abused survivors of sexual assault.,Good morning. It’s Friday. We’ll look at a Justice Department civil rights investigation that will examine the Police Department’s Special Victims Division. We’ll also get the latest on upgrading Pennsylvania Station.,New York,https://www.nytimes.com/2022/07/01/nyregion/nypd-sex-crimes-division-investigation.html
2022-07-01,Pictures of Brittney Griner in custody offer few clues to her well-being.,Images of the W.N.B.A. star released since her arrest in an airport near Moscow on Feb. 17 have been scrutinized for clues about her mental and physical health.,"Photos of the W.N.B.A. star Brittney Griner being led through a courthouse outside Moscow were released this week before her trial on drug charges that is set to begin on Friday, giving the Western world a rare glimpse of her after four months of being detained in Russia.",World,https://www.nytimes.com/2022/07/01/world/europe/brittney-griner-trial-photos-russia.html
2022-07-01,"The New York Times News Quiz, July 1, 2022",Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers.,Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers.,Briefing,https://www.nytimes.com/interactive/2022/07/01/briefing/news-quiz-nato-roe-v-wade-epa.html
2022-07-01,5 Things to Do This Weekend,"A selection of entertainment highlights this weekend, including ""Hamlet"" at the Park Avenue Armory in Manhattan.","A selection of entertainment highlights this weekend, including ""Hamlet"" at the Park Avenue Armory in Manhattan.",Arts,https://www.nytimes.com/interactive/2022/07/01/arts/weekend-editors-picks-hamlet-armory.html
