date,headline,abstract,lead_paragraph,section,url
2020-01-01,‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,"The gunman who shot two parishioners at the West Freeway Church of Christ had come earlier looking for food and money, church leaders said.","WHITE SETTLEMENT, Texas — Given West Freeway Church of Christ’s location, on a busy thoroughfare just off a major highway, vagabonds and homeless people regularly found their way inside. Sometimes, they sought spiritual help. But more often, they came asking for food, which the church would provide, and money, which it typically would not. ",U.S.,https://www.nytimes.com/2019/12/31/us/texas-church-shooting-white-settlement.html
2020-01-01,Protect Veterans From Fraud,Congress could do much more to protect Americans who have served their country from predatory for-profit colleges.,"Congress invited predatory for-profit colleges to defraud military veterans when it wrote a loophole into the rules governing federal education aid. The loophole, added to the Higher Education Act in 1998, encouraged the schools to take the education aid of Americans who had served the country while giving them valueless degrees — or no degrees at all — in return.",Opinion,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html
2020-01-01,F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,The tobacco and vaping industries and conservative allies intensively lobbied against a ban on popular flavored e-cigarettes.,"The Trump administration is expected to announce this week that it will ban mint-, fruit- and dessert-flavored e-cigarette cartridges popular with teenagers, but allow menthol and tobacco flavors to remain on the market.",Health,https://www.nytimes.com/2019/12/31/health/e-cigarettes-flavor-ban-trump.html
2020-01-01,‘It’s Green and Slimy’,Christina Iverson and Jeff Chen ring in the New Year.,"WEDNESDAY PUZZLE — The weekend columnist Caitlin Lovinger and I work in multiple time zones when it comes to writing Wordplay. We get the crossword puzzles ahead of time so that we can balance column writing with other tasks, and the puzzle and column both appear online the night before their actual publication dates. That can make it tricky to write the column as if we are solving on the same day you are.",Crosswords & Games,https://www.nytimes.com/2019/12/31/crosswords/daily-puzzle-2020-01-01.html
2020-01-01,"Corrections: Jan. 1, 2020","Corrections that appeared in print on Wednesday, Jan. 1, 2020.","An “On This Day in History” item on Tuesday about the installation of lampposts in a town using new electric technology developed by Thomas Edison misidentified the town. It was Menlo Park, N.J., not Menlo Park, Calif. It also misstated the year of the event. It was 1879, not 1908.  ",Corrections,https://www.nytimes.com/2019/12/31/pageoneplus/corrections-jan-1-2020.html
2020-01-01,Quotation of the Day: Ex-SEAL Now Pitching Products and President,"Quotation of the Day for Wednesday, January 1, 2020.","“He’s a Rambo version of the same story Trump has been telling over and over: The deep state is trying to screw you, the media is bad, and the rich people don’t understand you.”",Today’s Paper,https://www.nytimes.com/2019/12/31/todayspaper/quotation-of-the-day-ex-seal-now-pitching-products-and-president.html
2020-01-01,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,Attacks on civilian sites in Syria have grown so frequent that the U.N. launched a rare inquiry to document the violations. But the investigation is limited in scope and the final report may not be made public. The New York Times did its own investigation. Here’s what we found.,Attacks on civilian sites in Syria have grown so frequent that the U.N. launched a rare inquiry to document the violations. But the investigation is limited in scope and the final report may not be made public. The New York Times did its own investigation. Here’s what we found.,World,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html
2020-01-01,Hong Kong Protesters Return to Streets as New Year Begins,"Weeks of relative calm ended on Wednesday, as people marched in large numbers and the police deployed tear gas and pepper spray.",HONG KONG — Hong Kong protesters began the new year the way they’d spent much of the old one: in the streets. ,World,https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html
2020-01-01,Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,"A Los Angeles County massage therapist, who died in September, had accused Mr. Spacey of groping him and making improper advances during a 2016 massage.","A lawsuit that accused the actor Kevin Spacey of sexually assaulting a massage therapist in 2016 ended after the accuser’s estate dropped the case, court documents filed on Monday show.",U.S.,https://www.nytimes.com/2019/12/31/us/kevin-spacey-lawsuit-accuser.html
2020-01-01,Dizzying Day for Trump Caps a Year Full of Them,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.","PALM BEACH, Fla. — It was perhaps fitting that President Trump ended another dizzying year in office with a crisis-driven day of surreal contrasts, one that began with him tracking a Middle East emergency from his golf club and ended with a tuxedo-clad president holding forth about North Korea, Iran and impeachment and vaping on a red carpet over the thumping din of party music.",U.S.,https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html
2020-01-01,Meteor Showers in 2020 That Will Light Up Night Skies,"All year long, Earth passes through streams of cosmic debris. Here’s a list of major meteor showers and how to spot one.","All year long as Earth revolves around the sun, it passes through streams of cosmic debris. The resulting meteor showers can light up night skies from dusk to dawn, and if you’re lucky you might be able to catch one.",Science,https://www.nytimes.com/2020/01/01/science/meteor-showers-2020.html
