date,headline,abstract,lead_paragraph,section,url
2020-03-01,"Winning South Carolina, Biden Makes Case Against Sanders: ‘Win Big or Lose’",Joseph R. Biden Jr. drew on his decades-long relationships and leveraged his close bond with black voters to wrap up a state long considered his stronghold.,"COLUMBIA, S.C. — Joseph R. Biden Jr. scored a decisive victory in the South Carolina primary on Saturday, reviving his listing campaign and establishing himself as the leading contender to slow Senator Bernie Sanders as the turbulent Democratic race turns to a slew of coast-to-coast contests on Tuesday.",U.S.,https://www.nytimes.com/2020/02/29/us/politics/joe-biden-south-carolina-primary.html
2020-03-01,"At CPAC, Trump Takes Aim at Rivals","President Trump appeared eager to bask in the warm reception of a conservative audience, who spent the conference listening to speakers road-testing messages for his re-election campaign.","WASHINGTON — President Trump crouched underneath his microphone on Saturday, mimicking the height of Michael R. Bloomberg, the billionaire former mayor of New York City who is running for president.",U.S.,https://www.nytimes.com/2020/02/29/us/politics/cpac-trump-re-election.html
2020-03-01,The Islanders Are Saying Goodbye to Brooklyn,Gov. Andrew M. Cuomo announced on Saturday that soon the team would again play all of its home games at Nassau Coliseum on Long Island until a new arena opens.,The Islanders will be returning full-time to Long Island a bit earlier than expected.,Sports,https://www.nytimes.com/2020/02/29/sports/hockey/islanders-nassau-coliseum.html
2020-03-01,Trump Moves to Calm Fears as First U.S. Death From Coronavirus Is Reported,"A person in the Seattle area has died, officials said. Mr. Trump called more cases “likely” but added that “there’s no reason to panic at all.”","WASHINGTON — Hours after officials confirmed the first death in the country from the coronavirus, President Trump moved on Saturday to calm public fears and demonstrate aggressive action against the illness, including by issuing new restrictions on foreign travel.",U.S.,https://www.nytimes.com/2020/02/29/us/politics/trump-coronavirus.html
2020-03-01,"Mother and Daughter Attacked for Speaking Spanish, Prosecutor Says","Officials filed felony hate-crime charges against two women accused of assault in a Boston neighborhood, where more than half of the residents are Latino.","The mother and daughter were speaking Spanish while walking home from dinner in a Boston neighborhood, where more than half of the residents are Latino and more than half were born in another country.",U.S.,https://www.nytimes.com/2020/02/29/us/east-boston-hate-crime-attack.html
2020-03-01,Joe Biden Had a Big Night. He Needs Another in 72 Hours.,"For more than 30 years, over three presidential runs, Mr. Biden has been waiting to notch a victory like the one in South Carolina. Now he has to face the test of Super Tuesday.","GREENVILLE, S.C. — Joe Biden did what he had to do, and then some. Now, his supporters say, it is time for fellow moderates to do the same.",U.S.,https://www.nytimes.com/2020/02/29/us/politics/joe-biden-super-tuesday.html
2020-03-01,"For Buttigieg, a Search for Black Support That Never Arrived","Facing better-known and better-financed opponents, Pete Buttigieg knew he would struggle to attract black voters in South Carolina. On Saturday his efforts came up empty.","SUMTER, S.C. — In October, Pete Buttigieg said he would do better with South Carolina’s black voters once they got to know him better.",U.S.,https://www.nytimes.com/2020/02/29/us/politics/buttigieg-black-voters-south-carolina.html
2020-03-01,Tom Steyer Drops Out of 2020 Presidential Race,"Mr. Steyer, the former hedge-fund executive, exited the race after a disappointing finish in South Carolina — a state where he had spent considerable resources and pinned the hopes of his campaign.","COLUMBIA, S.C. — Tom Steyer, the billionaire former hedge-fund executive whose prolific campaign spending altered the Democratic primary and allowed him to persist in the race, withdrew after an apparent third-place finish Saturday night in South Carolina.",U.S.,https://www.nytimes.com/2020/02/29/us/politics/tom-steyer-drops-out.html
2020-03-01,Joe Biden Lands First Big Primary Win,"The former vice president energized his campaign with a big win in South Carolina. And Bernie Sanders, who came in a distant second, had his largest loss so far.","The former vice president energized his campaign with a big win in South Carolina. And Bernie Sanders, who came in a distant second, had his largest loss so far.",U.S.,https://www.nytimes.com/video/us/elections/100000007008579/joe-biden-wins-decisive-victory-in-south-carolina.html
2020-03-01,In Trump’s Words: Praise for the Taliban and Optimism About the Coronavirus,President Trump found himself veering off message in discussing the two big news stories of the day: the signing of an agreement with the Taliban and the spread of the coronavirus.,"On a day that saw the signing of a historic agreement with the Taliban and the first American death of the coronavirus outbreak, President Trump found himself veering off message on Saturday during both a news conference and a speech at the Conservative Political Action Conference.",U.S.,https://www.nytimes.com/2020/02/29/us/trump-coronavirus-hoax-taliban.html
2020-03-01,"Danielle Foster, Douglas Graham",The couple met in January 2017 at a neighborhood bar on the Upper East Side.,"Danielle Rose Foster and Douglas Wesley Graham were married Feb. 29 at the Fairmont Washington D.C. Georgetown hotel. Darryl Graham, a brother of the groom, received authorization from the District of Columbia to officiate.",Fashion & Style,https://www.nytimes.com/2020/03/01/fashion/weddings/danielle-foster-douglas-graham.html
2020-03-01,"Thomas Schultz, Robert Blalock",The couple met in 2014 at a mutual friend’s home in Los Angeles.,"Thomas McIntyre Schultz and Robert Scot Blalock were married Feb. 28 at the Manhattan Marriage Bureau. Zuleima Astol, a member of the New York City clerk’s office, officiated.",Fashion & Style,https://www.nytimes.com/2020/03/01/fashion/weddings/thomas-schultz-robert-blalock.html
2020-03-01,"Avy Villaraza, Darnell Thompson",The couple met as parishioners at Harvest City Church in 2011.,"Avy Villaraza and Darnell Xavier Thompson are to be married March 1 at Saddle Creek, an events space in Dripping Springs, Texas. Jonathan C. Clatt, who is the lead pastor at Harvest City Church in San Antonio, is to officiate.",Fashion & Style,https://www.nytimes.com/2020/03/01/fashion/weddings/avy-villaraza-darnell-thompson.html
2020-03-01,"Lauren Hard, Ronald Hernandez","The couple, who both attended Teaneck High School in Teaneck, N.J., began dating after seeing each other at a mutual friend’s going-away party in New York.","Lauren Hard and Ronald George Hernandez were married Feb. 28 at Liberty House Restaurant in Jersey City, N.J. The Rev. John M. O’Sullivan, affiliated with the Federation of Christian Ministries, officiated.",Fashion & Style,https://www.nytimes.com/2020/03/01/fashion/weddings/lauren-hard-ronald-hernandez.html
2020-03-01,"Corrections: March 1, 2020","Corrections that appeared in print on Sunday, March 1, 2020.","The illustrated Scratch column last Sunday, about the cost of various liquids, misstated the price for a gallon of maple syrup from Vermont Country Store. It is $119.80, not $239.60.",Corrections,https://www.nytimes.com/2020/03/01/pageoneplus/corrections-march-1-2020.html
